phase24_case_key,seed,run_name,run_root,maps_path,summary_path,batch_index,sample_index,split,location,event,start_idx,input_steps,pred_steps,alignment_mode,scenario_key,warning_level,risk_score,risk_category,phase23_case_role,phase23_selection_basis,prediction_key,target_key,wet_threshold,target_inundation_volume,predicted_inundation_volume,volume_bias,relative_volume_bias,target_wet_area,predicted_wet_area,wet_area_bias,wet_area_contraction
seed123|batch10|sample0|location2|r300y_p0.6_d3h|12,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0010\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0010\summary.json,10,0,test,location2,r300y_p0.6_d3h,12,12,12,mass_preserving,location2|r300y_p0.6_d3h|12,caution,3.233023843186218,caution,,,prediction,target,0.05,2432.226185890793,2457.3805473148823,25.154361424089075,0.010342114384759158,8238,8452,214,0.0
seed123|batch10|sample1|location2|r300y_p0.6_d3h|18,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0010\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0010\summary.json,10,1,test,location2,r300y_p0.6_d3h,18,12,12,mass_preserving,location2|r300y_p0.6_d3h|18,caution,3.393198537664933,caution,,,prediction,target,0.05,1753.9167400826755,1550.0918535888195,-203.82488649385596,-0.11621126695230022,6493,5910,-583,0.0897890035422763
seed123|batch11|sample0|location2|r300y_p0.6_d3h|24,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0011\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0011\summary.json,11,0,test,location2,r300y_p0.6_d3h,24,12,12,mass_preserving,location2|r300y_p0.6_d3h|24,caution,3.3117061219129367,caution,,,prediction,target,0.05,1426.6588724858502,1392.4221185296774,-34.236753956172834,-0.023997855840981634,5687,5092,-595,0.10462458238086865
seed123|batch11|sample1|location2|r300y_p0.8_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0011\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0011\summary.json,11,1,test,location2,r300y_p0.8_d3h,0,12,12,mass_preserving,location2|r300y_p0.8_d3h|0,high-risk,8.73513925840442,high-risk,high-risk,"Selected as a high-risk case, prioritizing Phase-13-like location2+r300y evidence and then stronger risk evidence.",prediction,target,0.05,5485.095879351298,2224.448852017522,-3260.6470273337764,-0.5944557942202099,17942,8098,-9844,0.5486567829673392
seed123|batch12|sample0|location2|r300y_p0.8_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0012\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0012\summary.json,12,0,test,location2,r300y_p0.8_d3h,6,12,12,mass_preserving,location2|r300y_p0.8_d3h|6,high-risk,6.4048322225375305,high-risk,,,prediction,target,0.05,3869.3442239054784,2353.693211182952,-1515.6510127225265,-0.3917074638535833,11825,7912,-3913,0.33090909090909093
seed123|batch12|sample1|location2|r300y_p0.8_d3h|12,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0012\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0012\summary.json,12,1,test,location2,r300y_p0.8_d3h,12,12,12,mass_preserving,location2|r300y_p0.8_d3h|12,caution,3.48738920559396,caution,,,prediction,target,0.05,2507.0610672819257,2200.8902623802423,-306.17080490168337,-0.12212339336178349,8448,7385,-1063,0.12582859848484848
seed123|batch13|sample0|location3|r100y_p0.5_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0013\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0013\summary.json,13,0,test,location3,r100y_p0.5_d3h,0,12,12,mass_preserving,location3|r100y_p0.5_d3h|0,reliable,1.1353644409186099,reliable,,,prediction,target,0.05,11150.735357807913,10956.937594860792,-193.79776294712065,-0.017379819063809143,28739,27676,-1063,0.03698806499878214
seed123|batch13|sample1|location3|r100y_p0.5_d3h|6,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0013\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0013\summary.json,13,1,test,location3,r100y_p0.5_d3h,6,12,12,mass_preserving,location3|r100y_p0.5_d3h|6,reliable,0.23370692071096733,reliable,,,prediction,target,0.05,10216.00928450518,10354.315701425076,138.30641691989513,0.013538203917812327,23994,24322,328,0.0
seed123|batch14|sample0|location3|r100y_p0.5_d3h|12,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0014\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0014\summary.json,14,0,test,location3,r100y_p0.5_d3h,12,12,12,mass_preserving,location3|r100y_p0.5_d3h|12,reliable,0.191398286819458,reliable,,,prediction,target,0.05,8900.689890892612,9659.377464234829,758.6875733422166,0.08523918737114108,21087,23432,2345,0.0
seed123|batch14|sample1|location3|r200y_p0.5_d3h|0,seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0014\forecast_maps.npz,runs\phase10_margin_aware_boundary_band_seed123_40e\evaluation_test\test_batch_0014\summary.json,14,1,test,location3,r200y_p0.5_d3h,0,12,12,mass_preserving,location3|r200y_p0.5_d3h|0,reliable,1.4346567777441823,reliable,,,prediction,target,0.05,12177.025512791291,10971.494955897331,-1205.5305568939602,-0.0990004131655647,30397,26951,-3446,0.11336645063657598
