split,location,scenario,scenario_type,sample_id,start_idx,window_step,global_step,valid_pixel_count,rmse,mae,wet_dry_iou,false_dry_rate,false_wet_rate,mean_target_depth,mean_pred_depth,signed_volume_bias_proxy
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start0,0,10,22,16384,0.0018643196246922495,0.001281431526876986,1.0,0.0,0.0,6.696411105622246e-07,-0.00039494672091677785,-590.7886415384266
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start0,0,11,23,16384,0.0018767102060139398,0.0012841238640248775,1.0,0.0,0.0,6.702932751068147e-07,-0.00038432044675573707,-574.3616329277563
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start48,48,0,60,16384,0.0037510902328251913,0.0015794755890965462,0.8421052631578947,0.13513513513513514,0.0001226241569589209,0.000841504312120378,0.0005263957427814603,-0.3744586507761604
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start48,48,1,61,16384,0.0038361202935455713,0.0015854494413360953,0.7974683544303798,0.16,0.00024526335152369856,0.0008711674599908292,0.0005149409407749772,-0.40890705355271423
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start48,48,2,62,16384,0.003862542984943999,0.0015992854023352265,0.7654320987654321,0.17333333333333334,0.00036789502728554787,0.000892797252163291,0.000544189300853759,-0.39046709705348887
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start48,48,3,63,16384,0.003939995532746064,0.0016097543993964791,0.8,0.14666666666666667,0.0003065791894046232,0.0009023104212246835,0.0005569591885432601,-0.3827410440552008
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start48,48,4,64,16384,0.004024687758387261,0.0016122866654768586,0.8125,0.13333333333333333,0.0003065791894046232,0.0009067414212040603,0.0005530405323952436,-0.3900791124542848
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start48,48,5,65,16384,0.004068109492064549,0.0016173629555851221,0.7831325301204819,0.15584415584415584,0.0003679401484025265,0.0009072205866687,0.0005631428211927414,-0.3792658263404348
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start48,48,6,66,16384,0.004101114039228326,0.0016235164366662502,0.8072289156626506,0.14102564102564102,0.00030663559425978166,0.0009054944384843111,0.0005859126104041934,-0.35293626829454555
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start48,48,7,67,16384,0.004151392388059807,0.0016222018748521805,0.8072289156626506,0.14102564102564102,0.00030663559425978166,0.0009035486145876348,0.0005971864447928965,-0.3390655077641363
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start48,48,8,68,16384,0.004037898725205439,0.0016204139683395624,0.7471264367816092,0.1875,0.00042934249263984297,0.0009023912716656923,0.0005978954723104835,-0.33743211943212925
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start48,48,9,69,16384,0.0040637017180433915,0.001614048844203353,0.7674418604651163,0.16455696202531644,0.00042931616068690585,0.0009039216674864292,0.0005989268538542092,-0.3374128805655596
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start48,48,10,70,16384,0.0040677747986200725,0.0016086187679320574,0.7613636363636364,0.1728395061728395,0.00042936882782310007,0.0009086300851777196,0.0005965766031295061,-0.343432918564631
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start48,48,11,71,16384,0.00409425923629862,0.0016044470248743892,0.7752808988764045,0.1686746987951807,0.0003680755781853874,0.0009182174107991159,0.0005924591096118093,-0.35477251613406274
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start96,96,0,108,16384,0.004149448896253676,0.0016704057343304157,0.796875,0.1774193548387097,0.0002460024600246002,0.0015823597786948085,0.0007711629150435328,-0.5126500777973402
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start96,96,1,109,16384,0.004552056644893209,0.001741186366416514,0.7094594594594594,0.26573426573426573,0.00030786281632904375,0.0017438816139474511,0.0008539350819773972,-0.5103250844852768
test,location1,G1135_intensity_103,measured,location1/G1135_intensity_103/start96,96,2,110,16384,0.0048065480730876044,0.00181324512232095,0.6982248520710059,0.2804878048780488,0.00030826140567200987,0.001957210246473551,0.0011254883138462901,-0.4249527786428847
