split,location,scenario,scenario_type,sample_count,valid_window_count,valid_step_count,rmse,mae,wet_dry_iou,false_dry_rate,false_wet_rate,target_wet_fraction,pred_wet_fraction,mean_target_depth,mean_pred_depth,max_target_depth,max_pred_depth,absolute_volume_bias_proxy,relative_volume_bias_proxy,absolute_relative_volume_bias_proxy,peak_depth_underprediction_proxy,step_rmse_mean,step_rmse_std,rollout_stability,missing_or_invalid_metric,warning_level
test,location1,r300y_p0.1_d3h,design,8,8,12,0.0071317024841335225,0.002757610830788811,0.9647481982754451,0.02559000914880577,0.0016732235263389869,0.14315668741861978,0.14092699686686197,0.05239125185956558,0.051757517096120864,2.056236982345581,2.047607660293579,996.7785949707031,-0.012096194325408254,0.012096194325408254,0.008629322052001953,0.006762711466743666,0.0022642682816480875,0.9977408470467274,False,reliable
test,location1,r300y_p0.5_d3h,design,8,8,12,0.0055982683509918875,0.00261876592412591,0.9676912721561588,0.0169053679291874,0.002460580791026808,0.13388570149739584,0.13375345865885416,0.04987290750917358,0.04984222185642769,2.0905442237854004,2.082754373550415,48.26435852050781,-0.0006152769966387732,0.0006152769966387732,0.0077898502349853516,0.005581324686441822,0.0004352284675684181,0.9995649608738438,False,reliable
test,location1,r300y_p0.6_d3h,design,8,8,12,0.005995774887190399,0.002693194857177635,0.9621241076020742,0.024593026315160037,0.002116113478235047,0.1329059600830078,0.1314722696940104,0.04911120426064978,0.048731429647887126,2.0998735427856445,2.0886600017547607,597.3338165283203,-0.007732952561029911,0.007732952561029911,0.011213541030883789,0.005971416365496636,0.0005399098378383528,0.9994603815074945,False,reliable
test,location1,r300y_p0.8_d3h,design,8,8,12,0.005865095585665224,0.0027303125631685057,0.9624180258954095,0.02111701886849399,0.0024751340364043382,0.12639172871907553,0.125885009765625,0.047084805206395686,0.04700398618054654,2.1098875999450684,2.1120104789733887,127.11733627319336,-0.001716456625335459,0.001716456625335459,0.0,0.0058451769464475155,0.00048296351779642313,0.9995172696233643,False,reliable
test,location1,r500y_p0.1_d3h,design,8,8,12,0.007616249641823078,0.002947060236086448,0.9619928159465749,0.02879020690300969,0.0016824585570320565,0.14937146504720053,0.1465021769205729,0.056167094696623586,0.05532995153528949,2.1000711917877197,2.0837466716766357,1316.7123413085938,-0.014904512434829948,0.014904512434829948,0.016324520111083984,0.0072200780563472155,0.0024244030492502843,0.9975814604653723,False,reliable
test,location1,r500y_p0.3_d3h,design,8,8,12,0.006647549551509598,0.002985826945708444,0.9647952384804349,0.025077115679973155,0.0018203236147449197,0.1477832794189453,0.14562861124674478,0.05568736653852587,0.05496160289233861,2.1143088340759277,2.098930597305298,1141.5275115966797,-0.013032823983248693,0.013032823983248693,0.015378236770629883,0.006631869236608664,0.00045631753301379535,0.9995438905977033,False,reliable
test,location2,G1135_intensity_103,measured,8,8,12,0.004070526743277494,0.0014094827929511666,0.8795215128823455,0.08366942148760331,0.00082068488941498,0.019232432047526043,0.01842816670735677,0.004186650097835809,0.004047450672563476,1.7207486629486084,1.737384557723999,218.94176483154297,-0.033248401948920696,0.033248401948920696,0.0,0.003928001223726523,0.0010677053698380937,0.9989334334090384,False,high-risk
test,location2,G1135_intensity_161,measured,8,8,12,0.0030117618244296703,0.0012382132408674806,0.9301247503109336,0.040437030988763174,0.0005261303885544018,0.016351699829101562,0.01620801289876302,0.003441402904475884,0.003313388575861609,1.450067162513733,1.405972957611084,201.3491289615631,-0.037198297371045914,0.037198297371045914,0.044094204902648926,0.003011339154807321,5.045473190700386e-05,0.9999495478136446,False,high-risk
test,location2,G1166_intensity_246,measured,8,8,12,0.005451507039296597,0.0014946745747389893,0.8658261700095511,0.0916633266533066,0.000791387635230381,0.015862782796223957,0.015187581380208334,0.0035600508296435387,0.0033513202456560975,1.8277907371520996,1.677493929862976,328.3048212528229,-0.05863134937552032,0.05863134937552032,0.15029680728912354,0.005400252396320373,0.00074578965373763,0.9992547661339691,False,high-risk
test,location2,G1166_intensity_394,measured,8,8,12,0.005370857633370996,0.0017595827715316166,0.9015969894969389,0.059562169234674944,0.0014497353871470377,0.03255653381347656,0.03201993306477865,0.0071217859610139085,0.007103305444616126,1.911799430847168,2.0046424865722656,29.067338943481445,-0.002594927241417864,0.002594927241417864,0.0,0.005268445661947003,0.0010438353353972717,0.9989572531206413,False,reliable
test,location2,G3501_intensity_151,measured,8,8,12,0.0043911769369345075,0.0013923856992429744,0.9261143651345181,0.04813529921942758,0.0007107172245253517,0.024923960367838543,0.02441724141438802,0.0054171878000488505,0.005219093736741343,1.8582301139831543,1.7269188165664673,311.5750207901001,-0.03656769353754388,0.03656769353754388,0.131311297416687,0.0043581519353528405,0.0005375367535391341,0.9994627520369868,False,high-risk
test,location2,G3531_intensity_128,measured,8,8,12,0.00596835891223607,0.001739974832162261,0.8663906235858448,0.07406780480727378,0.0018556849122761197,0.026292165120442707,0.026151657104492188,0.005726576586312149,0.005690250877705694,1.920006513595581,1.8848024606704712,57.13539934158325,-0.006343355067193532,0.006343355067193532,0.03520405292510986,0.005849826117848895,0.0011835718926817922,0.9988178272937056,False,caution
test,location2,r100y_p0.5_d3h,design,8,8,12,0.004844153342274657,0.0017868461436592042,0.9404922409918841,0.030587081215853507,0.001505201514938308,0.04666455586751302,0.04667218526204427,0.013721403840463609,0.013707304283646712,2.723897933959961,2.715359687805176,22.176685333251953,-0.0010275593504010345,0.0010275593504010345,0.008538246154785156,0.004722384037818667,0.0010793096635824716,0.9989218539898251,False,reliable
test,location2,r100y_p0.8_d3h,design,8,8,12,0.004723027168277614,0.0018207955678614478,0.936094156211145,0.029828671840679454,0.001652294935310593,0.04341761271158854,0.04370307922363281,0.01247849416298171,0.012623822784613973,2.7810397148132324,2.791635513305664,228.58215713500977,0.011646326851150952,0.011646326851150952,0.0,0.004612631869085296,0.0010151908982789152,0.9989858386690736,False,reliable
test,location2,r200y_p0.5_d3h,design,8,8,12,0.0053680472954112934,0.0018447563925292343,0.9395181833620417,0.036630720051743226,0.0013675344245467403,0.05111503601074219,0.05054028828938802,0.01565115023792411,0.01549282551908012,2.802802324295044,2.8154590129852295,249.02325057983398,-0.010115851962136026,0.010115851962136026,0.0,0.005260322004296126,0.0010700202115777678,0.9989311235078724,False,reliable
test,location2,r200y_p0.7_d3h,design,8,8,12,0.00408677858617102,0.0017482592472030471,0.943148041925223,0.03239310409394268,0.0012943104409266434,0.04753684997558594,0.047229766845703125,0.014035571109464703,0.01399057534096452,2.6574695110321045,2.64155650138855,70.77222442626953,-0.003205838091607062,0.003205838091607062,0.015913009643554688,0.004057687259009003,0.0004867575798134753,0.9995134792378552,False,reliable
test,location2,r300y_p0.1_d3h,design,8,8,12,0.006229938288286093,0.001775424073760708,0.9206012354523458,0.06803596108321132,0.0006014195368002748,0.0464623769124349,0.04387474060058594,0.013751786978294453,0.013143594202119857,2.4913830757141113,2.4886398315429688,956.6045227050781,-0.04422645414261829,0.04422645414261829,0.002743244171142578,0.005328076975104214,0.003228579513791647,0.9967818106663624,False,high-risk
test,location2,r300y_p0.5_d3h,design,8,8,12,0.006102813522616889,0.0019776610715780407,0.9213324503642247,0.06503436208251971,0.0007811255436754266,0.05014165242513021,0.0476226806640625,0.014587838270623857,0.013975160113962678,2.601851463317871,2.5937228202819824,963.6594161987305,-0.04199924247137808,0.04199924247137808,0.008128643035888672,0.005581349717057233,0.0024683735003978246,0.997537704364898,False,high-risk
test,location2,r300y_p0.6_d3h,design,8,8,12,0.004140159278006779,0.0017312697794598837,0.943574213777486,0.037781998551576185,0.0009642050542748758,0.04652849833170573,0.045689900716145836,0.013944867692771368,0.013667575559035564,2.815062999725342,2.8328020572662354,436.14281463623047,-0.01988488810686557,0.01988488810686557,0.0,0.004128998057778258,0.0003037974434260524,0.9996962948214306,False,reliable
test,location2,r300y_p0.8_d3h,design,8,8,12,0.005280379175299763,0.0019413757254369557,0.9322102475447824,0.04025447797932367,0.0015666394178528605,0.05036735534667969,0.04982757568359375,0.015394630575125726,0.015227961009562327,2.903520107269287,2.9155139923095703,262.1485595703125,-0.010826473863731504,0.010826473863731504,0.0,0.005246331036032028,0.0005986770070000622,0.9994016811927127,False,reliable
test,location2,r500y_p0.1_d3h,design,8,8,12,0.006574595767539522,0.0018615973240230232,0.9178699661612378,0.0746484375,0.0004184312970568104,0.048828125,0.04558118184407552,0.014957646373659372,0.014209247465866307,2.5204992294311523,2.5165328979492188,1177.1296997070312,-0.0500345367912298,0.0500345367912298,0.003966331481933594,0.005622529717851039,0.0034077074011906955,0.9966038656310339,False,high-risk
test,location2,r500y_p0.3_d3h,design,8,8,12,0.00441501700823305,0.0017663187657793362,0.9452817064688153,0.042449040137458746,0.0007037689171409288,0.05143292744954427,0.04991722106933594,0.01645585192212214,0.01597547728063849,2.799431800842285,2.861177682876587,755.5639801025391,-0.029191721203924194,0.029191721203924194,0.0,0.004365828064707359,0.0006572065935545436,0.9993432250432774,False,caution
test,location3,G1135_intensity_103,measured,8,8,12,0.006542721437018081,0.002572658956826975,0.9223198061780739,0.04371327322477908,0.002213397389754747,0.05669403076171875,0.05630366007486979,0.01729530381544464,0.017188596257862326,1.5508058071136475,1.5585862398147583,167.8364758491516,-0.006169741724168291,0.006169741724168291,0.0,0.006458169180120315,0.0010484530871593051,0.9989526450154077,False,reliable
test,location3,G1135_intensity_161,measured,8,8,12,0.00438102358137611,0.002289834141265601,0.9332128604773737,0.03666088037930409,0.0016661429325987684,0.04907862345377604,0.048863728841145836,0.013917965004414631,0.013609639927987397,1.4741727113723755,1.4758543968200684,484.95341300964355,-0.022153028573461398,0.022153028573461398,0.0,0.004370730436609693,0.00030013819099808424,0.9996999518649063,False,reliable
test,location3,G1166_intensity_246,measured,8,8,12,0.005997606021625255,0.002596821558351318,0.8986547600246938,0.057716625519359306,0.002140814478676824,0.042233784993489586,0.04184659322102865,0.012184797725543225,0.011963088138145395,1.549285650253296,1.5370222330093384,348.7190284729004,-0.018195590307835467,0.018195590307835467,0.01226341724395752,0.00592301800536963,0.0009429399859622547,0.999057948312243,False,reliable
test,location3,G1166_intensity_394,measured,8,8,12,0.007313425460972894,0.0033311142081705234,0.9227339627382705,0.05111262052773799,0.002670761045151793,0.08611424763997395,0.0841534932454427,0.03100137901492417,0.030494270914156612,1.8979105949401855,1.9141188859939575,797.6120758056641,-0.016357598174050074,0.016357598174050074,0.0,0.0072720216353349,0.0007771058838724503,0.9992234975407576,False,reliable
test,location3,G3501_intensity_151,measured,8,8,12,0.004587842422608209,0.002520883494677643,0.9468519957935165,0.028157645269984887,0.001917724700116823,0.06773821512858073,0.06761868794759114,0.019741210987679853,0.019454823263610404,1.4196462631225586,1.4535391330718994,450.4489412307739,-0.014507100108913339,0.014507100108913339,0.0,0.004567088921920309,0.00043588610204064885,0.9995643038118726,False,reliable
test,location3,G3531_intensity_128,measured,8,8,12,0.006710168197021694,0.0030032737219395735,0.9293030125957668,0.031399883265520186,0.0034365725842764603,0.07516034444173177,0.07597859700520833,0.02553527206691797,0.025594580263714306,1.6050019264221191,1.6083989143371582,93.28372764587402,0.0023225989776382073,0.0023225989776382073,0.0,0.006694284347879601,0.0004614246889780427,0.9995387881255677,False,reliable
