split,location,scenario,scenario_type,rmse,mae,wet_dry_iou,false_dry_rate,false_wet_rate,absolute_relative_volume_bias_proxy,peak_depth_underprediction_proxy,phase53_warning_level,warning_action,primary_failure_driver,secondary_failure_drivers,missing_metric_flags,phase48_warning_level,phase48_failure_drivers,warning_label_transition,warning_labels_are_probabilities
test,location2,r500y_p0.1_d3h,design,0.006574595767539522,0.0018615973240230232,0.9178699661612378,0.0746484375,0.0004184312970568104,0.0500345367912298,0.003966331481933594,high-risk,high_risk_requires_review_or_supplemental_evidence,elevated volume-bias proxy,peak-depth underprediction proxy,,high-risk,low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy | peak-depth underprediction proxy,unchanged,False
test,location2,r500y_p0.3_d3h,design,0.00441501700823305,0.0017663187657793362,0.9452817064688153,0.042449040137458746,0.0007037689171409288,0.029191721203924194,0.0,caution,use_with_caution_and_review_diagnostics,elevated volume-bias proxy,,,high-risk,high RMSE | low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy | peak-depth underprediction proxy,improved,False
test,location3,G1135_intensity_103,measured,0.006542721437018081,0.002572658956826975,0.9223198061780739,0.04371327322477908,0.002213397389754747,0.006169741724168291,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,caution,high RMSE | low wet/dry IoU,improved,False
test,location3,G1135_intensity_161,measured,0.00438102358137611,0.002289834141265601,0.9332128604773737,0.03666088037930409,0.0016661429325987684,0.022153028573461398,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,caution,low wet/dry IoU,improved,False
test,location3,G1166_intensity_246,measured,0.005997606021625255,0.002596821558351318,0.8986547600246938,0.057716625519359306,0.002140814478676824,0.018195590307835467,0.01226341724395752,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,high-risk,low wet/dry IoU,improved,False
test,location3,G1166_intensity_394,measured,0.007313425460972894,0.0033311142081705234,0.9227339627382705,0.05111262052773799,0.002670761045151793,0.016357598174050074,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,caution,high RMSE | low wet/dry IoU | elevated false-wet rate | peak-depth underprediction proxy,improved,False
test,location3,G3501_intensity_151,measured,0.004587842422608209,0.002520883494677643,0.9468519957935165,0.028157645269984887,0.001917724700116823,0.014507100108913339,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,caution,low wet/dry IoU | elevated false-wet rate,improved,False
test,location3,G3531_intensity_128,measured,0.006710168197021694,0.0030032737219395735,0.9293030125957668,0.031399883265520186,0.0034365725842764603,0.0023225989776382073,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | low wet/dry IoU | elevated false-wet rate,improved,False
test,location3,r100y_p0.5_d3h,design,0.006647369943175719,0.0030888818049182496,0.9482837106299212,0.020355118330410024,0.003676418642635718,0.007266210638721563,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | elevated false-wet rate,improved,False
test,location3,r100y_p0.8_d3h,design,0.006369230277367184,0.0031341282301582396,0.945578100087435,0.02088326143686425,0.003745128802064882,0.010366427165639503,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | low wet/dry IoU | elevated false-wet rate | elevated volume-bias proxy,improved,False
test,location3,r200y_p0.5_d3h,design,0.005778808235931161,0.002957161263717959,0.9570994528711044,0.02119744212323004,0.00268259110002588,0.00028374345270113546,0.00523829460144043,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,high-risk,high RMSE | elevated false-wet rate | peak-depth underprediction proxy,improved,False
test,location3,r200y_p0.7_d3h,design,0.005077766417103891,0.0027919472001182535,0.957988904128208,0.02621878081099242,0.0018569254831720108,0.006601050215441366,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | elevated false-wet rate | peak-depth underprediction proxy,improved,False
test,location3,r300y_p0.1_d3h,design,0.007148271516389636,0.0030664989996391037,0.9477292713908824,0.04053615884722551,0.0016198110148586925,0.019197928628292674,0.009911060333251953,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,high-risk,high RMSE | low wet/dry IoU | peak-depth underprediction proxy,improved,False
test,location3,r300y_p0.5_d3h,design,0.005549564026458606,0.002960308842981855,0.9580926096640652,0.024883739903728483,0.0021758895170510095,0.00457282251870436,0.006300210952758789,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,high-risk,high RMSE | elevated false-wet rate | peak-depth underprediction proxy,improved,False
test,location3,r300y_p0.6_d3h,design,0.0064019663068341755,0.003163086463852475,0.9457131759818519,0.039603734001017535,0.0019428712862079745,0.01147969273382046,0.002830028533935547,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,high-risk,high RMSE | low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy | peak-depth underprediction proxy,improved,False
test,location3,r300y_p0.8_d3h,design,0.00560080424438324,0.0029880962683819234,0.9541325034412592,0.026412052445481247,0.0023695757543930117,0.0023024744282312,0.0,reliable,normal_use_with_standard_monitoring,no major Phase 48 failure driver flagged,,,high-risk,high RMSE | low wet/dry IoU | elevated false-wet rate | peak-depth underprediction proxy,improved,False
test,location3,r500y_p0.1_d3h,design,0.007673854180508414,0.0032557239561962583,0.9451365822479751,0.044389825301141,0.0015114711411607115,0.02134597800279023,0.00998997688293457,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,high-risk,high RMSE | low wet/dry IoU | elevated volume-bias proxy | peak-depth underprediction proxy,improved,False
test,location3,r500y_p0.3_d3h,design,0.007034550849530651,0.003370481717865914,0.947333523271776,0.04175596158179065,0.0015904290612922996,0.02160830489856146,0.008729219436645508,reliable,normal_use_with_standard_monitoring,peak-depth underprediction proxy,,,high-risk,high RMSE | low wet/dry IoU | elevated false-dry rate | elevated volume-bias proxy | peak-depth underprediction proxy,improved,False
