split,location,scenario,scenario_type,false_dry_count,false_wet_count,target_wet_count,target_dry_count,false_dry_rate,false_wet_rate,wet_dry_iou,target_wet_prevalence,predicted_wet_prevalence
test,location3,G3501_intensity_151,measured,3000,2812,106543,1466321,0.028157645269984887,0.001917724700116823,0.9468519957935165,0.06773821512858073,0.06761868794759114
test,location3,G3531_intensity_128,measured,3712,4999,118217,1454647,0.031399883265520186,0.0034365725842764603,0.9293030125957668,0.07516034444173177,0.07597859700520833
test,location3,r100y_p0.5_d3h,design,3203,5204,157356,1415508,0.020355118330410024,0.003676418642635718,0.9482837106299212,0.10004425048828125,0.10131645202636719
test,location3,r100y_p0.8_d3h,design,3137,5328,150216,1422648,0.02088326143686425,0.003745128802064882,0.945578100087435,0.0955047607421875,0.09689776102701823
test,location3,r200y_p0.5_d3h,design,3527,3773,166388,1406476,0.02119744212323004,0.00268259110002588,0.9570994528711044,0.10578664143880208,0.1059430440266927
test,location3,r200y_p0.7_d3h,design,4175,2625,159237,1413627,0.02621878081099242,0.0018569254831720108,0.957988904128208,0.10124015808105469,0.10025469462076823
test,location3,r300y_p0.1_d3h,design,7376,2253,181961,1390903,0.04053615884722551,0.0016198110148586925,0.9477292713908824,0.11568768819173177,0.11243057250976562
test,location3,r300y_p0.5_d3h,design,4270,3049,171598,1401266,0.024883739903728483,0.0021758895170510095,0.9580926096640652,0.1090990702311198,0.10832277933756511
test,location3,r300y_p0.6_d3h,design,6928,2716,174933,1397931,0.039603734001017535,0.0019428712862079745,0.9457131759818519,0.11121940612792969,0.10854148864746094
test,location3,r300y_p0.8_d3h,design,4325,3339,163751,1409113,0.026412052445481247,0.0023695757543930117,0.9541325034412592,0.10411008199055989,0.10348320007324219
test,location3,r500y_p0.1_d3h,design,8380,2092,188782,1384082,0.044389825301141,0.0015114711411607115,0.9451365822479751,0.1200243631998698,0.1160265604654948
test,location3,r500y_p0.3_d3h,design,7969,2198,190847,1382017,0.04175596158179065,0.0015904290612922996,0.947333523271776,0.12133725484212239,0.11766815185546875
