split,location,scenario,scenario_type,peak_target_depth,peak_pred_depth,signed_peak_depth_bias,absolute_peak_depth_error,relative_peak_depth_error,peak_depth_underprediction_proxy,peak_depth_underprediction_flag,target_peak_global_step,pred_peak_global_step,signed_peak_timing_error,absolute_peak_timing_error,peak_timing_error_proxy
test,location2,G1166_intensity_394,measured,1.911799430847168,2.0046424865722656,0.09284305572509766,0.09284305572509766,0.04856317782454642,0.0,False,252,252,0,0,0
test,location2,G3501_intensity_151,measured,1.8582301139831543,1.7269188165664673,-0.131311297416687,0.131311297416687,-0.07066471285153084,0.131311297416687,True,65,61,-4,4,4
test,location2,G3531_intensity_128,measured,1.920006513595581,1.8848024606704712,-0.03520405292510986,0.03520405292510986,-0.01833538202908672,0.03520405292510986,True,108,109,1,1,1
test,location2,r100y_p0.5_d3h,design,2.723897933959961,2.715359687805176,-0.008538246154785156,0.008538246154785156,-0.0031345690483976342,0.008538246154785156,True,112,111,-1,1,1
test,location2,r100y_p0.8_d3h,design,2.7810397148132324,2.791635513305664,0.01059579849243164,0.01059579849243164,0.003810013368738687,0.0,False,159,159,0,0,0
test,location2,r200y_p0.5_d3h,design,2.802802324295044,2.8154590129852295,0.012656688690185547,0.012656688690185547,0.0045157264857659685,0.0,False,110,109,-1,1,1
test,location2,r200y_p0.7_d3h,design,2.6574695110321045,2.64155650138855,-0.015913009643554688,0.015913009643554688,-0.005988030936006643,0.015913009643554688,True,156,157,1,1,1
test,location2,r300y_p0.1_d3h,design,2.4913830757141113,2.4886398315429688,-0.002743244171142578,0.002743244171142578,-0.0011010928820555928,0.002743244171142578,True,84,85,1,1,1
test,location2,r300y_p0.5_d3h,design,2.601851463317871,2.5937228202819824,-0.008128643035888672,0.008128643035888672,-0.003124176437621484,0.008128643035888672,True,132,133,1,1,1
test,location2,r300y_p0.6_d3h,design,2.815062999725342,2.8328020572662354,0.017739057540893555,0.017739057540893555,0.006301477992721409,0.0,False,132,133,1,1,1
test,location2,r300y_p0.8_d3h,design,2.903520107269287,2.9155139923095703,0.011993885040283203,0.011993885040283203,0.004130808328227234,0.0,False,157,157,0,0,0
test,location2,r500y_p0.1_d3h,design,2.5204992294311523,2.5165328979492188,-0.003966331481933594,0.003966331481933594,-0.0015736293174065954,0.003966331481933594,True,84,85,1,1,1
test,location2,r500y_p0.3_d3h,design,2.799431800842285,2.861177682876587,0.06174588203430176,0.06174588203430176,0.022056576629487394,0.0,False,84,85,1,1,1
test,location3,G1135_intensity_103,measured,1.5508058071136475,1.5585862398147583,0.00778043270111084,0.00778043270111084,0.005017025771648189,0.0,False,158,156,-2,2,2
test,location3,G1135_intensity_161,measured,1.4741727113723755,1.4758543968200684,0.001681685447692871,0.001681685447692871,0.0011407655525839386,0.0,False,156,156,0,0,0
test,location3,G1166_intensity_246,measured,1.549285650253296,1.5370222330093384,-0.01226341724395752,0.01226341724395752,-0.007915530129613315,0.01226341724395752,True,300,300,0,0,0
test,location3,G1166_intensity_394,measured,1.8979105949401855,1.9141188859939575,0.016208291053771973,0.016208291053771973,0.008540070905859922,0.0,False,348,262,-86,86,86
test,location3,G3501_intensity_151,measured,1.4196462631225586,1.4535391330718994,0.03389286994934082,0.03389286994934082,0.023874165578960733,0.0,False,63,63,0,0,0
test,location3,G3531_intensity_128,measured,1.6050019264221191,1.6083989143371582,0.0033969879150390625,0.0033969879150390625,0.0021165008334984685,0.0,False,204,215,11,11,11
test,location3,r100y_p0.5_d3h,design,1.905573844909668,1.9168167114257812,0.011242866516113281,0.011242866516113281,0.005899989940639765,0.0,False,167,167,0,0,0
test,location3,r100y_p0.8_d3h,design,1.9246089458465576,1.9922571182250977,0.06764817237854004,0.06764817237854004,0.03514904808300387,0.0,False,204,167,-37,37,37
test,location3,r200y_p0.5_d3h,design,1.958777666091919,1.9535393714904785,-0.00523829460144043,0.00523829460144043,-0.0026742670656908613,0.00523829460144043,True,167,167,0,0,0
