split,location,scenario,scenario_type,sum_target_depth,sum_pred_depth,signed_summed_depth_bias,absolute_summed_depth_error,signed_volume_bias_proxy,relative_volume_bias_proxy,absolute_relative_volume_bias_proxy
test,location2,r100y_p0.8_d3h,design,19626.974243164062,19855.556400299072,228.58215713500977,228.58215713500977,0.011646326851150952,0.011646326851150952,0.011646326851150952
test,location2,r200y_p0.5_d3h,design,24617.130767822266,24368.10751724243,-249.02325057983398,249.02325057983398,-0.010115851962136026,-0.010115851962136026,0.010115851962136026
test,location2,r200y_p0.7_d3h,design,22076.04451751709,22005.27229309082,-70.77222442626953,70.77222442626953,-0.003205838091607062,-0.003205838091607062,0.003205838091607062
test,location2,r300y_p0.1_d3h,design,21629.690673828125,20673.086151123047,-956.6045227050781,956.6045227050781,-0.04422645414261829,-0.04422645414261829,0.04422645414261829
test,location2,r300y_p0.5_d3h,design,22944.685653686523,21981.026237487793,-963.6594161987305,963.6594161987305,-0.04199924247137808,-0.04199924247137808,0.04199924247137808
test,location2,r300y_p0.6_d3h,design,21933.380378723145,21497.237564086914,-436.14281463623047,436.14281463623047,-0.01988488810686557,-0.01988488810686557,0.01988488810686557
test,location2,r300y_p0.8_d3h,design,24213.66022491455,23951.51166534424,-262.1485595703125,262.1485595703125,-0.010826473863731504,-0.010826473863731504,0.010826473863731504
test,location2,r500y_p0.1_d3h,design,23526.343505859375,22349.213806152344,-1177.1296997070312,1177.1296997070312,-0.0500345367912298,-0.0500345367912298,0.0500345367912298
test,location2,r500y_p0.3_d3h,design,25882.81707763672,25127.25309753418,-755.5639801025391,755.5639801025391,-0.029191721203924194,-0.029191721203924194,0.029191721203924194
test,location3,G1135_intensity_103,measured,27203.16074037552,27035.324264526367,-167.8364758491516,167.8364758491516,-0.006169741724168291,-0.006169741724168291,0.006169741724168291
test,location3,G1135_intensity_161,measured,21891.066108703613,21406.11269569397,-484.95341300964355,484.95341300964355,-0.022153028573461398,-0.022153028573461398,0.022153028573461398
test,location3,G1166_intensity_246,measured,19165.02968978882,18816.310661315918,-348.7190284729004,348.7190284729004,-0.018195590307835467,-0.018195590307835467,0.018195590307835467
test,location3,G1166_intensity_394,measured,48760.95300292969,47963.34092712402,-797.6120758056641,797.6120758056641,-0.016357598174050074,-0.016357598174050074,0.016357598174050074
test,location3,G3501_intensity_151,measured,31050.240078926086,30599.791137695312,-450.4489412307739,450.4489412307739,-0.014507100108913339,-0.014507100108913339,0.014507100108913339
test,location3,G3531_intensity_128,measured,40163.510164260864,40256.79389190674,93.28372764587402,93.28372764587402,0.0023225989776382073,0.0023225989776382073,0.0023225989776382073
test,location3,r100y_p0.5_d3h,design,65307.20657348633,65781.74249267578,474.5359191894531,474.5359191894531,0.007266210638721563,0.007266210638721563,0.007266210638721563
test,location3,r100y_p0.8_d3h,design,61136.24978637695,61770.01426696777,633.7644805908203,633.7644805908203,0.010366427165639503,0.010366427165639503,0.010366427165639503
test,location3,r200y_p0.5_d3h,design,70859.47204589844,70839.36613464355,-20.105911254882812,20.105911254882812,-0.00028374345270113546,-0.00028374345270113546,0.00028374345270113546
test,location3,r200y_p0.7_d3h,design,66847.44654846191,66406.18319702148,-441.2633514404297,441.2633514404297,-0.006601050215441366,-0.006601050215441366,0.006601050215441366
test,location3,r300y_p0.1_d3h,design,77838.05407714844,76343.72467041016,-1494.3294067382812,1494.3294067382812,-0.019197928628292674,-0.019197928628292674,0.019197928628292674
test,location3,r300y_p0.5_d3h,design,74171.69140625,73832.51742553711,-339.1739807128906,339.1739807128906,-0.00457282251870436,-0.00457282251870436,0.00457282251870436
test,location3,r300y_p0.6_d3h,design,73500.30038452148,72656.53952026367,-843.7608642578125,843.7608642578125,-0.01147969273382046,-0.01147969273382046,0.01147969273382046
test,location3,r300y_p0.8_d3h,design,69479.72094726562,69319.7456665039,-159.97528076171875,159.97528076171875,-0.0023024744282312,-0.0023024744282312,0.0023024744282312
test,location3,r500y_p0.1_d3h,design,82196.24914550781,80441.68981933594,-1754.559326171875,1754.559326171875,-0.02134597800279023,-0.02134597800279023,0.02134597800279023
test,location3,r500y_p0.3_d3h,design,82244.1644897461,80467.00750732422,-1777.156982421875,1777.156982421875,-0.02160830489856146,-0.02160830489856146,0.02160830489856146
