split,location,scenario,scenario_type,phase48_warning_level,phase53_warning_level,warning_label_transition,comparability_status,comparability_reason,phase48_rmse,phase52_rmse,delta_rmse,relative_change_rmse,direction_rmse,phase48_mae,phase52_mae,delta_mae,relative_change_mae,direction_mae,phase48_wet_dry_iou,phase52_wet_dry_iou,delta_wet_dry_iou,relative_change_wet_dry_iou,direction_wet_dry_iou,phase48_false_dry_rate,phase52_false_dry_rate,delta_false_dry_rate,relative_change_false_dry_rate,direction_false_dry_rate,phase48_false_wet_rate,phase52_false_wet_rate,delta_false_wet_rate,relative_change_false_wet_rate,direction_false_wet_rate,phase48_peak_depth_bias,phase52_peak_depth_bias,delta_peak_depth_bias,relative_change_peak_depth_bias,direction_peak_depth_bias,phase48_absolute_peak_depth_error,phase52_absolute_peak_depth_error,delta_absolute_peak_depth_error,relative_change_absolute_peak_depth_error,direction_absolute_peak_depth_error,phase48_absolute_peak_timing_error,phase52_absolute_peak_timing_error,delta_absolute_peak_timing_error,relative_change_absolute_peak_timing_error,direction_absolute_peak_timing_error,phase48_signed_volume_bias_proxy,phase52_signed_volume_bias_proxy,delta_signed_volume_bias_proxy,relative_change_signed_volume_bias_proxy,direction_signed_volume_bias_proxy,phase48_absolute_relative_volume_bias_proxy,phase52_absolute_relative_volume_bias_proxy,delta_absolute_relative_volume_bias_proxy,relative_change_absolute_relative_volume_bias_proxy,direction_absolute_relative_volume_bias_proxy
test,location1,r300y_p0.1_d3h,design,caution,reliable,improved,matched,,0.013358786560154842,0.0071317024841335225,-0.006227084076021319,-0.466141445406037,improved,0.005988310130002598,0.002757610830788811,-0.003230699299213787,-0.5395009992931654,improved,0.9162704495656768,0.9647481982754451,0.04847774870976829,0.052907685424917195,improved,0.060257765381984844,0.02559000914880577,-0.034667756233179074,-0.5753242924528301,improved,0.004279890598635599,0.0016732235263389869,-0.0026066670722966123,-0.6090499306518724,improved,-0.01819777488708496,-0.008629322052001953,0.009568452835083008,0.5258034509413445,improved,0.01819777488708496,0.008629322052001953,-0.009568452835083008,-0.5258034509413445,improved,0.0,40.0,40.0,,degraded,-0.01753659091968262,-0.012096194325408254,0.005440396594274366,0.31023114008824854,improved,0.01753659091968262,0.012096194325408254,-0.005440396594274366,-0.31023114008824854,improved
test,location1,r300y_p0.5_d3h,design,caution,reliable,improved,matched,,0.013141754852961623,0.0055982683509918875,-0.007543486501969736,-0.5740090715715745,improved,0.0061147566108653946,0.00261876592412591,-0.0034959906867394848,-0.5717301454856619,improved,0.9168097479922459,0.9676912721561588,0.050881524163912895,0.05549845458705052,improved,0.05673745393762109,0.0169053679291874,-0.03983208600843369,-0.7020421827920991,improved,0.004460169715476994,0.002460580791026808,-0.0019995889244501866,-0.4483212639894668,improved,-0.03625941276550293,-0.0077898502349853516,0.028469562530517578,0.7851633647416214,improved,0.03625941276550293,0.0077898502349853516,-0.028469562530517578,-0.7851633647416214,improved,0.0,3.0,3.0,,degraded,-0.021207283720161087,-0.0006152769966387732,0.020592006723522314,0.9709874680436397,improved,0.021207283720161087,0.0006152769966387732,-0.020592006723522314,-0.9709874680436397,improved
test,location1,r300y_p0.6_d3h,design,high-risk,reliable,improved,matched,,0.015791566538873036,0.005995774887190399,-0.009795791651682637,-0.6203179163744772,improved,0.006744041301620503,0.002693194857177635,-0.004050846444442868,-0.6006556400343372,improved,0.8987276310456161,0.9621241076020742,0.06339647655645808,0.07054025531928962,improved,0.07721377898327138,0.024593026315160037,-0.05262075266811134,-0.6814943312062449,improved,0.004103177763064215,0.002116113478235047,-0.001987064284829168,-0.48427448177269483,improved,-0.050170183181762695,-0.011213541030883789,0.038956642150878906,0.7764899324712848,improved,0.050170183181762695,0.011213541030883789,-0.038956642150878906,-0.7764899324712848,improved,11.0,11.0,0.0,0.0,unchanged,-0.03914187001376328,-0.007732952561029911,0.031408917452733366,0.802437835537474,improved,0.03914187001376328,0.007732952561029911,-0.031408917452733366,-0.802437835537474,improved
test,location1,r300y_p0.8_d3h,design,high-risk,reliable,improved,matched,,0.014701976554463004,0.005865095585665224,-0.00883688096879778,-0.6010675459902848,improved,0.006353348532381157,0.0027303125631685057,-0.0036230359692126517,-0.5702561335565172,improved,0.9037500848764684,0.9624180258954095,0.05866794101894113,0.06491611121337855,improved,0.06267700216804077,0.02111701886849399,-0.041559983299546785,-0.6630818619582666,improved,0.005374555971433707,0.0024751340364043382,-0.002899421935029369,-0.5394719025050779,improved,-0.033025264739990234,0.0021228790283203125,0.03514814376831055,1.0642804545257656,improved,0.033025264739990234,0.0021228790283203125,-0.030902385711669922,-0.9357195454742344,improved,11.0,7.0,-4.0,-0.36363636363636365,improved,-0.017863031095449403,-0.001716456625335459,0.016146574470113945,0.9039101137895502,improved,0.017863031095449403,0.001716456625335459,-0.016146574470113945,-0.9039101137895502,improved
test,location1,r500y_p0.1_d3h,design,high-risk,reliable,improved,matched,,0.014728131050044413,0.007616249641823078,-0.007111881408221336,-0.48287738505693767,improved,0.0064749143008763594,0.002947060236086448,-0.0035278540647899113,-0.5448495379023669,improved,0.909609185048023,0.9619928159465749,0.052383630898551914,0.057589162202431265,improved,0.0716520317867039,0.02879020690300969,-0.04286182488369421,-0.5981941309255079,improved,0.003617547497128011,0.0016824585570320565,-0.0019350889400959546,-0.5349173553719008,improved,-0.03895831108093262,-0.016324520111083984,0.022633790969848633,0.5809746455083444,improved,0.03895831108093262,0.016324520111083984,-0.022633790969848633,-0.5809746455083444,improved,0.0,0.0,0.0,,unchanged,-0.03369233578259793,-0.014904512434829948,0.01878782334776798,0.5576289951815059,improved,0.03369233578259793,0.014904512434829948,-0.01878782334776798,-0.5576289951815059,improved
test,location1,r500y_p0.3_d3h,design,high-risk,reliable,improved,matched,,0.017437123733624518,0.006647549551509598,-0.01078957418211492,-0.6187702941689327,improved,0.0073753593023866415,0.002985826945708444,-0.004389532356678197,-0.5951618323540874,improved,0.9032680840304262,0.9647952384804349,0.06152715445000867,0.06811616123473721,improved,0.07787715698042101,0.025077115679973155,-0.05280004130044785,-0.6779913821677163,improved,0.003619758269976373,0.0018203236147449197,-0.0017994346552314534,-0.4971145919208574,improved,-0.0450282096862793,-0.015378236770629883,0.029649972915649414,0.6584755006300897,improved,0.0450282096862793,0.015378236770629883,-0.029649972915649414,-0.6584755006300897,improved,11.0,3.0,-8.0,-0.7272727272727273,improved,-0.05241776593849284,-0.013032823983248693,0.03938494195524414,0.7513662829785335,improved,0.05241776593849284,0.013032823983248693,-0.03938494195524414,-0.7513662829785335,improved
test,location2,G1135_intensity_103,measured,high-risk,high-risk,unchanged,matched,,0.007115698010527896,0.004070526743277494,-0.0030451712672504025,-0.42795116694735735,improved,0.0029722228452252844,0.0014094827929511666,-0.0015627400522741177,-0.5257815896222503,improved,0.7753793545629408,0.8795215128823455,0.10414215831940465,0.1343112345028926,improved,0.16046280991735537,0.08366942148760331,-0.07679338842975206,-0.47857437165224553,improved,0.0016225705199097117,0.00082068488941498,-0.0008018856304947316,-0.4942069516580104,improved,0.2524474859237671,0.016635894775390625,-0.23581159114837646,-0.9341015628873632,improved,0.2524474859237671,0.016635894775390625,-0.23581159114837646,-0.9341015628873632,improved,5.0,4.0,-1.0,-0.2,improved,0.03546269953286267,-0.033248401948920696,-0.06871110148178336,-1.937559813180888,improved,0.03546269953286267,0.033248401948920696,-0.002214297583941975,-0.062440186819111836,improved
test,location2,G1135_intensity_161,measured,high-risk,high-risk,unchanged,matched,,0.0056874454158098,0.0030117618244296703,-0.0026756835913801296,-0.47045437727496076,improved,0.0027053874412861965,0.0012382132408674806,-0.0014671742004187158,-0.5423157430350128,improved,0.8264394618834081,0.9301247503109336,0.10368528842752545,0.1254602341848883,improved,0.10428088183832963,0.040437030988763174,-0.06384385084956645,-0.6122296793437731,improved,0.0013935345426576047,0.0005261303885544018,-0.0008674041541032029,-0.6224489795918366,improved,0.11069095134735107,-0.044094204902648926,-0.15478515625,-1.3983541957669166,improved,0.11069095134735107,0.044094204902648926,-0.06659674644470215,-0.6016458042330834,improved,1.0,1.0,0.0,0.0,unchanged,0.051536980405336656,-0.037198297371045914,-0.08873527777638257,-1.7217787514612328,improved,0.051536980405336656,0.037198297371045914,-0.014338683034290742,-0.2782212485387671,improved
test,location2,G1166_intensity_246,measured,high-risk,high-risk,unchanged,matched,,0.006926437686055327,0.005451507039296597,-0.00147493064675873,-0.21294216646576333,improved,0.002930005566061785,0.0014946745747389893,-0.0014353309913227956,-0.4898731278698632,improved,0.771089996025868,0.8658261700095511,0.09473617398368306,0.12286007401463539,improved,0.1445691382765531,0.0916633266533066,-0.05290581162324649,-0.36595508733019133,improved,0.0017630178420764977,0.000791387635230381,-0.0009716302068461166,-0.5511176255038476,improved,0.09159910678863525,-0.15029680728912354,-0.2418959140777588,-2.6408108393014476,degraded,0.09159910678863525,0.15029680728912354,0.05869770050048828,0.6408108393014476,degraded,1.0,1.0,0.0,0.0,unchanged,0.032299402476439414,-0.05863134937552032,-0.09093075185195973,-2.815245635528043,degraded,0.032299402476439414,0.05863134937552032,0.02633194689908091,0.8152456355280434,degraded
test,location2,G1166_intensity_394,measured,high-risk,reliable,improved,matched,,0.009649124305794489,0.005370857633370996,-0.004278266672423493,-0.4433839317267692,improved,0.0036234724102541804,0.0017595827715316166,-0.0018638896387225639,-0.5143932194565309,improved,0.8073695397244209,0.9015969894969389,0.09422744977251796,0.11670919589644238,improved,0.13951217606967797,0.059562169234674944,-0.07995000683500303,-0.5730683090705487,improved,0.002214033780280313,0.0014497353871470377,-0.0007642983931332751,-0.3452062926684476,improved,0.28388357162475586,0.09284305572509766,-0.1910405158996582,-0.6729537563807326,improved,0.28388357162475586,0.09284305572509766,-0.1910405158996582,-0.6729537563807326,improved,1.0,0.0,-1.0,-1.0,improved,0.023854496814595182,-0.002594927241417864,-0.026449424056013048,-1.1087814704953316,improved,0.023854496814595182,0.002594927241417864,-0.021259569573177317,-0.8912185295046685,improved
