batch,sample_index,timestep,target_volume_proxy,phase25_prediction_volume_proxy,phase27_prediction_volume_proxy,phase25_volume_bias,phase27_volume_bias,delta_volume_bias,phase25_relative_volume_bias,phase27_relative_volume_bias,phase25_absolute_relative_volume_bias,phase27_absolute_relative_volume_bias,delta_absolute_relative_volume_bias,target_wet_count,phase25_predicted_wet_count,phase27_predicted_wet_count,phase25_overlap_wet_count,phase27_overlap_wet_count,phase25_overlap_volume_difference,phase27_overlap_volume_difference,delta_overlap_volume_difference,phase25_false_dry_count,phase27_false_dry_count,delta_false_dry_count,phase25_false_dry_volume_loss,phase27_false_dry_volume_loss,delta_false_dry_volume_loss,false_dry_volume_loss_decrease,phase25_false_wet_count,phase27_false_wet_count,delta_false_wet_count,phase25_false_wet_volume_excess,phase27_false_wet_volume_excess,delta_false_wet_volume_excess,already_wet_both_phase_count,already_wet_depth_amplification_sum,already_wet_depth_amplification_mean,dry_or_threshold_phase27_minus_phase25_predicted_volume,shallow_phase27_minus_phase25_predicted_volume,moderate_phase27_minus_phase25_predicted_volume,deep_phase27_minus_phase25_predicted_volume
test_batch_0015,1,5,800.2272570250186,1083.4770930111408,1129.325471021235,283.2498359861222,329.0982139962164,45.848378010094166,0.35396174461633745,0.4112559414930388,0.35396174461633745,0.4112559414930388,0.05729419687670134,1860,2393,2414,1853,1855,174.42440164461732,181.1728250682354,6.748423423618078,7,5,-2,0.4972728118300438,0.36174212023615837,-0.13553069159388542,0.13553069159388542,540,559,19,41.33918070048094,42.69536653906107,1.3561858385801315,1852,6.766183912754059,0.003653447037124222,39.04819107055664,2.258327968418598,0.9409699738025665,3.6008889973163605
test_batch_0015,1,6,782.9284736536918,722.9749461188912,744.5018038749695,-59.953527534800514,-38.42666977872227,21.526857756078243,-0.07657599583141401,-0.04908069009087958,0.07657599583141401,0.04908069009087958,-0.027495305740534437,1833,1928,1972,1793,1807,-42.372432351112366,-29.304559774696827,13.067872576415539,40,26,-14,2.783076148480177,1.7830197848379612,-1.0000563636422157,1.0000563636422157,135,165,30,8.895821332931519,10.887033320963383,1.9912119880318642,1790,13.275522388517857,0.007416492954479249,7.976042248308659,3.953011617064476,3.298908971250057,6.298894919455051
test_batch_0015,1,7,766.4298190470706,867.5263518169522,892.3914792388678,101.0965327698816,125.96166019179714,24.86512742191553,0.13190579262114094,0.1643485901271555,0.13190579262114094,0.1643485901271555,0.03244279750601456,1805,2083,2092,1786,1796,78.40342576056719,84.092993080616,5.689567320048809,19,9,-10,1.326714240014553,0.6415130496025085,-0.6852011904120445,0.6852011904120445,297,296,-1,21.96558676660061,21.689464204013348,-0.2761225625872612,1786,5.791873887181282,0.0032429305079402474,18.929090417921543,1.0266203135252,0.5847989469766617,4.3246177434921265
test_batch_0015,1,8,750.6504126224879,1081.833568699658,1123.3679157719016,331.18315607717,372.7175031494137,41.53434707224369,0.4411949297678278,0.4965260750970342,0.4411949297678278,0.4965260750970342,0.05533114532920641,1773,2344,2351,1767,1768,205.77842739224434,207.00208438187838,1.223656989634037,6,5,-1,0.43419236317276955,0.3776683546602726,-0.05652400851249695,0.05652400851249695,577,583,6,47.675265707075596,46.070442229509354,-1.6048234775662422,1765,1.225874088704586,0.0006945462258949495,40.286904372274876,-1.4835771098732948,-1.4912617951631546,4.222281605005264
test_batch_0015,1,9,735.5240872577976,644.4229421615601,650.4590413197875,-91.10114509623759,-85.06504593801014,6.036099158227444,-0.12385881941118122,-0.11565229121883963,0.12385881941118122,0.11565229121883963,-0.008206528192341592,1740,1791,1810,1677,1695,-65.94041539728642,-64.16915122792125,1.7712641693651676,63,45,-18,4.5545028150081635,3.318882744759321,-1.2356200702488422,1.2356200702488422,114,115,1,7.958796828985214,7.96928134560585,0.010484516620635986,1665,1.909439466893673,0.0011468104906268307,3.726985886693001,0.1486307606101036,1.4317702054977417,0.7287123054265976
test_batch_0015,1,10,721.0441725376566,830.2943784222007,836.1168738976121,109.25020588454413,115.07270135995554,5.822495475411415,0.1515166615937644,0.159591750051826,0.1515166615937644,0.159591750051826,0.008075088458061597,1714,2020,1994,1696,1703,83.33298303931952,78.53315337747335,-4.799829661846161,18,11,-7,1.2155726924538612,0.7620254904031754,-0.4535472020506859,0.4535472020506859,324,291,-33,24.8702572286129,22.192269779741764,-2.6779874488711357,1694,-4.789975553750992,-0.0028276124874563116,10.477675847709179,-0.9133197069168091,-1.530599020421505,-2.2112616449594498
test_batch_0015,1,11,707.3964848923476,962.0629415512085,976.6169466599822,254.66645665886085,269.22046176763456,14.554005108773708,0.36000526168520036,0.3805793038519331,0.36000526168520036,0.3805793038519331,0.020574042166732753,1693,2171,2160,1684,1687,172.36679565533996,164.5526400320232,-7.814155623316765,9,6,-3,0.6345528662204742,0.4655127376317978,-0.16904012858867645,0.16904012858867645,487,473,-14,41.662007704377174,38.04436572641134,-3.6176419779658318,1683,-7.808538816869259,-0.004639654674313285,22.33039765805006,-2.7734466046094894,-3.5599361211061478,-1.4430098235607147
test_batch_0016,0,0,1029.0432315848182,797.5985907837749,835.1756703928113,-231.4446408010433,-193.86756119200686,37.577079609036446,-0.22491245624792436,-0.18839593443847194,0.22491245624792436,0.18839593443847194,-0.03651652180945242,3489,2485,2647,2368,2510,-118.8638225235045,-113.09914554283023,5.764676980674267,1121,979,-142,115.17386955395341,92.74783116951585,-22.42603838443756,22.42603838443756,117,137,20,11.329224072396755,13.46882638335228,2.1396023109555244,2342,19.835729360580444,0.008469568471639814,10.401473693549633,11.458978213369846,9.35368374735117,6.362943954765797
test_batch_0016,0,1,1080.6735269019243,849.793661557138,884.517626516521,-230.87986534478637,-196.15590038540336,34.72396495938301,-0.2136444167432071,-0.1815126358723185,0.2136444167432071,0.1815126358723185,-0.03213178087088861,3249,2537,2638,2443,2543,-157.9718000665307,-145.09241419658065,12.879385869950056,806,706,-100,79.2722068876028,65.24230116978288,-14.02990571781993,14.02990571781993,94,95,1,6.639898478984833,6.818070016801357,0.1781715378165245,2408,21.09912972152233,0.008762097060432862,9.1874133720994,7.689104676246643,6.832015462219715,11.015431448817253
test_batch_0016,0,2,1107.6942506151079,882.2034190967679,942.0651358515024,-225.49083151833997,-165.62911476360546,59.861716754734516,-0.2035677547239445,-0.1495260218888296,0.2035677547239445,0.1495260218888296,-0.0540417328351149,3073,2508,2640,2447,2562,-175.6718697808683,-145.93300469964743,29.738865081220865,626,511,-115,56.99862081930041,44.00631783157587,-12.992302987724543,12.992302987724543,61,78,17,3.9449262991547585,5.0265441462397575,1.081617847084999,2424,35.9797852486372,0.014843145729635809,18.775174245238304,10.678854145109653,11.378780171275139,19.02890819311142
