scenario_key,warning_level,phase25_warning_level,risk_score,risk_category,phase10_rmse,phase25_rmse,delta_rmse,phase25_improved_rmse,phase10_mae,phase25_mae,delta_mae,phase25_improved_mae,phase10_relative_volume_bias,phase25_relative_volume_bias,delta_relative_volume_bias,phase25_improved_relative_volume_bias,phase10_wet_area_contraction,phase25_wet_area_contraction,delta_wet_area_contraction,phase25_improved_wet_area_contraction,phase10_peak_depth_underprediction,phase25_peak_depth_underprediction,delta_peak_depth_underprediction,phase25_improved_peak_depth_underprediction,phase10_false_dry_rate,phase25_false_dry_rate,delta_false_dry_rate,phase25_improved_false_dry_rate,phase10_false_wet_rate,phase25_false_wet_rate,delta_false_wet_rate,phase25_improved_false_wet_rate,phase10_connectivity_loss_indicator,phase25_connectivity_loss_indicator,delta_connectivity_loss_indicator,phase25_improved_connectivity_loss_indicator,phase10_largest_component_ratio_change,phase25_largest_component_ratio_change,delta_largest_component_ratio_change,phase25_improved_largest_component_ratio_change
location1|r300y_p0.8_d3h|12,reliable,reliable,0.6536856333414713,reliable,0.05626686176297182,0.05231348714147029,-0.003953374621501526,True,0.019665659752034215,0.018707149393705408,-0.0009585103583288068,True,0.07386639993150058,0.09827416777625883,0.024407767844758246,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.06955638333897732,0.032373857094480187,-0.03718252624449713,True,0.02266007493506027,0.030740133350890004,0.008080058415829733,False,0.0,0.0,0.0,False,-0.006833182449317299,-0.025128721743395088,-0.01829553929407779,
location1|r300y_p0.8_d3h|6,reliable,reliable,1.524861540874766,reliable,0.07171130420903901,0.0676864564050393,-0.004024847803999712,True,0.027260363188576057,0.02590285635404153,-0.0013575068345345262,True,-0.13258128777936898,-0.08741387267535249,0.04516741510401649,,0.07310980348617742,0.0,-0.07310980348617742,True,0.0,0.0,0.0,False,0.14966137448651048,0.08715443543910292,-0.06250693904740756,True,0.017175239755884916,0.023265661975339396,0.0060904222194544805,False,0.0,0.0,0.0,False,-0.03269971342939304,-0.04158341926543896,-0.008883705836045919,
location2|r100y_p0.5_d3h|0,caution,caution,4.875056307873177,caution,0.079586440459128,0.07506534205938728,-0.004521098399740714,True,0.01672138365622639,0.016251181625767885,-0.0004702020304585032,True,-0.3375225101670084,-0.2163215728690127,0.12120093729799569,,0.36024147129018674,0.1361785764425102,-0.22406289484767655,True,1.1625854969024658,1.2417699098587036,0.07918441295623779,False,0.4245402218166503,0.2281342131124526,-0.1964060087041977,True,0.005022976277952644,0.0071835141092990865,0.0021605378313464428,False,1.0,1.0,0.0,False,-0.36217153766822646,-0.3368700989589665,0.025301438709259938,
location2|r100y_p0.5_d3h|12,reliable,reliable,1.505871785693065,reliable,0.030645056566076728,0.029506285175308594,-0.0011387713907681334,True,0.007208740628210669,0.007542953314992676,0.00033421268678200666,False,0.0455103330268788,0.23653869845308612,0.19102836542620732,,0.040970025606266,0.0,-0.040970025606266,True,0.0,0.0,0.0,False,0.2637445398403374,0.05723753577345986,-0.20650700406687755,True,0.007785480788970832,0.010033215945759571,0.002247735156788739,False,0.0,0.0,0.0,False,-0.026418845765297294,0.031039991462084637,0.05745883722738193,
location2|r100y_p0.5_d3h|6,reliable,reliable,2.1906860995516206,reliable,0.043253610828300836,0.03927536968087014,-0.003978241147430693,True,0.009010502877592386,0.0089842028035076,-2.630007408478685e-05,True,-0.24078476064709134,-0.052956681000719694,0.18782807964637166,,0.172814713032449,0.0,-0.172814713032449,True,0.5191582441329956,0.4497462511062622,-0.0694119930267334,True,0.2789345735123137,0.09787548884895889,-0.18105908466335482,True,0.0053647667341715334,0.00871507424644798,0.0033503075122764464,False,1.0,1.0,0.0,False,-0.05456151682836907,-0.06610802592160392,-0.011546509093234847,
location2|r200y_p0.5_d3h|0,high-risk,high-risk,5.706091864202834,high-risk,0.08587353609555318,0.08183685439278417,-0.00403668170276901,True,0.01834770126241836,0.017845262986343063,-0.0005024382760752955,True,-0.43827557372927656,-0.33275975617124226,0.1055158175580343,,0.4465091932212262,0.25289537394490613,-0.19361381927632004,True,1.29408597946167,1.2940775156021118,-8.463859558105469e-06,True,0.47732774978734543,0.29608061244520056,-0.18124713734214487,True,0.0025975458430994073,0.003639873155935475,0.0010423273128360678,False,1.0,1.0,0.0,False,-0.3445639028033812,-0.3332924721913567,0.011271430612024458,
location2|r200y_p0.5_d3h|12,reliable,reliable,1.5345347097721476,reliable,0.037754275398033006,0.03561502671891865,-0.0021392486791143583,True,0.008278366166474142,0.008246044474733689,-3.23216917404532e-05,True,-0.08955708498477141,0.05643744378900629,0.1459945287737777,,0.09974697030230391,0.0,-0.09974697030230391,True,0.0,0.0,0.0,False,0.26341723265414835,0.06645358902650153,-0.19696364362764682,True,0.006499241138239758,0.0080486940703018,0.001549452932062041,False,1.0,0.0,-1.0,True,-0.06916111448647055,0.005137646542868662,0.07429876102933922,
location2|r200y_p0.5_d3h|6,caution,caution,2.6090016171739077,caution,0.05069166302689453,0.04577639578236287,-0.00491526724453166,True,0.010576471372156011,0.010342808318142913,-0.0002336630540130981,True,-0.31993948618472756,-0.15105108968932657,0.168888396495401,,0.22137771791418126,0.004521839522801616,-0.21685587839137965,True,0.6049326658248901,0.5473707914352417,-0.05756187438964844,True,0.29026361362324415,0.11314219742158937,-0.17712141620165478,True,0.003845038504086696,0.0060629168590975975,0.0022178783550109017,False,0.0,0.0,0.0,False,-0.043085257283543704,0.0020573695272490533,0.04514262681079276,
location2|r300y_p0.6_d3h|0,high-risk,high-risk,8.063778048536216,high-risk,0.10093450479467551,0.09262999248498924,-0.008304512309686277,True,0.022313457255980246,0.02148813782229982,-0.0008253194336804263,True,-0.5228660873097335,-0.3342653218507327,0.18860076545900079,,0.44260879576329726,0.12134469260879577,-0.3212641031545015,True,1.328129529953003,1.397428274154663,0.06929874420166016,False,0.484285056412618,0.24625834676490904,-0.23802670964770895,True,0.004039367091432525,0.012106942801669308,0.008067575710236783,False,1.0,1.0,0.0,False,-0.3939340687347519,-0.39835754597251094,-0.004423477237759044,
location2|r300y_p0.6_d3h|12,caution,caution,3.233023843186218,caution,0.043169311097277854,0.04173057296407282,-0.0014387381332050322,True,0.009521715371541742,0.010031837660171775,0.0005101222886300331,False,0.010342114384759158,0.21213663814368788,0.20179452375892873,,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.21534352998300557,0.034838553046856034,-0.18050497693614953,True,0.01055369751021925,0.01555449381536338,0.0050007963051441305,False,0.0,0.0,0.0,False,0.01627394383277231,0.03616006845206593,0.01988612461929362,
location2|r300y_p0.6_d3h|18,caution,caution,3.393198537664933,caution,0.031348593428718596,0.028941009311682274,-0.0024075841170363224,True,0.0063211890522373625,0.006488849720272587,0.0001676606680352244,False,-0.11621126695230022,0.08633893912126452,0.20255020607356472,,0.0897890035422763,0.0,-0.0897890035422763,True,0.0,0.0,0.0,False,0.23810257200061605,0.033266594794393964,-0.2048359772062221,True,0.005065355179759619,0.00869473739578676,0.003629382216027141,False,0.0,0.0,0.0,False,0.037765710630933425,0.02644557143998083,-0.011320139190952594,
location2|r300y_p0.6_d3h|24,caution,caution,3.3117061219129367,caution,0.025017700927651737,0.02352455781172061,-0.0014931431159311281,True,0.005604015968660563,0.00581915037870144,0.00021513441004087763,False,-0.023997855840981634,0.1750214734204618,0.19901932926144342,,0.10462458238086865,0.0,-0.10462458238086865,True,0.0,0.0,0.0,False,0.2343942324599965,0.04184983295234746,-0.19254439950764904,True,0.0038654731538175476,0.004268781328402848,0.0004033081745853,False,0.0,0.0,0.0,False,-0.003635592228464407,-0.012643563034188038,-0.00900797080572363,
location2|r300y_p0.6_d3h|6,caution,caution,3.8519024533100814,caution,0.06256762973565155,0.058766372931243545,-0.0038012568044080083,True,0.014091391326733432,0.014942937587808786,0.0008515462610753539,False,-0.14252330634651916,0.08998238174189468,0.23250568808841385,,0.019755072852417985,0.0,-0.019755072852417985,True,0.3835580348968506,0.4524555206298828,0.06889748573303223,False,0.2462679896308215,0.07231608116563869,-0.17395190846518283,True,0.013666197464149153,0.02268890794462332,0.009022710480474165,False,0.0,0.0,0.0,False,-0.00380391407721109,-0.008477985896202855,-0.004674071818991765,
location2|r300y_p0.8_d3h|0,high-risk,high-risk,8.73513925840442,high-risk,0.0970282462315086,0.09028493866145534,-0.0067433075700532585,True,0.021595283791636704,0.020684121606168553,-0.0009111621854681513,True,-0.5944557942202099,-0.44618998018281575,0.14826581403739414,,0.5486567829673392,0.32421134767584436,-0.22444543529149485,True,1.5271356105804443,1.5379326343536377,0.01079702377319336,False,0.5846616876602385,0.3942146917846394,-0.1904469958755991,True,0.0036156851331534817,0.007029876977152899,0.0034141918439994177,False,1.0,1.0,0.0,False,-0.45013002726251367,-0.4316261241338641,0.01850390312864958,
