seed,run_name,run_root,batch_index,sample_index,split,location,event,start_idx,input_steps,pred_steps,alignment_mode,count,rmse,mae,bias,wet_dry_iou,wet_dry_class_error_rate,pred_wet_fraction,target_wet_fraction,target_max_depth,target_mean_depth,prediction_max_depth,prediction_mean_depth,max_abs_error,source
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,10,0,test,location2,r300y_p0.6_d3h,12,12,12,mass_preserving,196608,0.04384734937853123,0.013884678727633359,-0.004235021657767596,0.632114218658322,0.019134521484375,0.042989095052083336,0.041900634765625,1.178109884262085,0.012370942107598842,1.3149914741516113,0.008135920449831247,1.0385836213827133,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,10,1,test,location2,r300y_p0.6_d3h,18,12,12,mass_preserving,196608,0.03240066840025048,0.011265973260732304,-0.005981491191394193,0.6634924892703863,0.012761433919270834,0.030059814453125,0.033025105794270836,1.0229902267456055,0.008920881856703061,1.1544888019561768,0.0029393906653088684,0.8899351060390472,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,11,0,test,location2,r300y_p0.6_d3h,24,12,12,mass_preserving,196608,0.02613982358119298,0.009889958848166019,-0.004460080015106106,0.6776653696498054,0.010533650716145834,0.025899251302083332,0.028925577799479168,0.9036679267883301,0.007256362266468558,1.0677762031555176,0.002796282251362451,0.8176853060722351,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,11,1,test,location2,r300y_p0.8_d3h,0,12,12,mass_preserving,196608,0.09742745060894134,0.025568687125680434,-0.020557911733161658,0.40090380890897354,0.056640625,0.041188557942708336,0.09125773111979167,2.8395590782165527,0.027898640336869802,1.3124234676361084,0.007340728603708158,2.8151546120643616,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,12,0,test,location2,r300y_p0.8_d3h,6,12,12,mass_preserving,196608,0.07346485404898151,0.019667437371804302,-0.012475921625177633,0.5492150706436421,0.029210408528645832,0.040242513020833336,0.060145060221354164,2.4863128662109375,0.01968050244092549,1.4905707836151123,0.007204580815747856,2.4142180383205414,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,12,1,test,location2,r300y_p0.8_d3h,12,12,12,mass_preserving,196608,0.04283347408835654,0.013385791343256334,-0.005773340517704552,0.664179104477612,0.0162506103515625,0.037562052408854164,0.04296875,1.1866930723190308,0.012751571997487008,1.2784371376037598,0.006978231479782456,1.0600736290216446,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,13,0,test,location3,r100y_p0.5_d3h,0,12,12,mass_preserving,196608,0.06460040377579154,0.02776576231590912,-0.004499561697959392,0.713908129784907,0.0478973388671875,0.14076741536458334,0.14617411295572916,1.866689920425415,0.05671557290551713,2.3132736682891846,0.052216011207557735,1.3111164569854736,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,13,1,test,location3,r100y_p0.5_d3h,6,12,12,mass_preserving,196608,0.05866200102086689,0.023298285845250653,-0.0033156386073259964,0.7934003934523589,0.028310139973958332,0.12370808919270833,0.122039794921875,1.866689920425415,0.0519613102442687,2.229633092880249,0.0486456716369427,1.3238343000411987,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,14,0,test,location3,r100y_p0.5_d3h,12,12,12,mass_preserving,196608,0.05902654004139004,0.023765034429641313,-0.0007129990472539505,0.7711955440620648,0.0292510986328125,0.11918131510416667,0.1072540283203125,1.7803488969802856,0.04527124985195217,2.230635166168213,0.04455825080469822,1.2524957358837128,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,14,1,test,location3,r200y_p0.5_d3h,0,12,12,mass_preserving,196608,0.06737837432969274,0.028584057430412767,-0.009749331838326481,0.7215934676233076,0.047170003255208336,0.13707987467447916,0.15460713704427084,1.9122755527496338,0.061935554569454404,2.3243467807769775,0.052186222731127906,1.3491521775722504,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,15,0,test,location3,r200y_p0.5_d3h,6,12,12,mass_preserving,196608,0.05982059393793942,0.02363489047366474,-0.0066607394355586115,0.8109326161227012,0.026458740234375,0.12471516927083333,0.12871297200520834,1.9122755527496338,0.05628236580592589,2.2276358604431152,0.04962162637036727,1.3492924273014069,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,15,1,test,location3,r200y_p0.5_d3h,12,12,12,mass_preserving,196608,0.059155806190456635,0.023828660390536258,-0.003230127649868191,0.7993645563662038,0.0260162353515625,0.12018330891927083,0.11313883463541667,1.820621371269226,0.04862984315572932,2.231203556060791,0.04539971550586112,1.2846490740776062,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,16,0,test,location3,r300y_p0.6_d3h,0,12,12,mass_preserving,196608,0.07552917434714111,0.03242072406457166,-0.015721185359464988,0.6785754315175969,0.058344523111979164,0.13892110188802084,0.165771484375,1.9415950775146484,0.06592769427495893,2.3302791118621826,0.05020650891549394,1.3765970319509506,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,16,1,test,location3,r300y_p0.6_d3h,6,12,12,mass_preserving,196608,0.06560081679263148,0.025600945995128892,-0.007864305384533548,0.8128269922055735,0.0267486572265625,0.12563069661458334,0.1334381103515625,1.9415950775146484,0.059678326157314616,2.284170150756836,0.05181402077278108,1.3631531596183777,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,17,0,test,location3,r300y_p0.6_d3h,12,12,12,mass_preserving,196608,0.05985997893127002,0.023704355203367902,-0.004895369756641634,0.8155586876517109,0.023961385091145832,0.11925252278645833,0.11661275227864583,1.8407260179519653,0.05125148835109677,2.2291817665100098,0.04635611859445513,1.30929297208786,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,17,1,test,location3,r300y_p0.8_d3h,0,12,12,mass_preserving,196608,0.07092955267893379,0.030254030959817827,-0.015462796564510856,0.6637877853177051,0.060984293619791664,0.135162353515625,0.1666259765625,1.9666359424591064,0.06177320422988441,2.2604427337646484,0.04631040766537353,1.3713278770446777,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,18,0,test,location3,r300y_p0.8_d3h,6,12,12,mass_preserving,196608,0.08049018352534118,0.03095184804202243,-0.012117679908333562,0.7662956008583691,0.035451253255208336,0.13038126627604166,0.13755289713541666,1.9666359424591064,0.0614508263679503,2.3668665885925293,0.04933314645961673,1.3512411713600159,saved_evaluation_test_forecast_maps
seed123,phase10_margin_aware_boundary_band_seed123_40e,runs\phase10_margin_aware_boundary_band_seed123_40e,18,1,test,location3,r300y_p0.8_d3h,12,12,12,mass_preserving,196608,0.06481240225478634,0.025200093582545758,-0.0010488121278812244,0.8137767765092214,0.024805704752604168,0.12331136067708333,0.11829121907552083,1.8554701805114746,0.05247485665237601,2.30380916595459,0.051426044524494806,1.310454398393631,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,0,0,test,location1,r100y_p0.5_d3h,0,12,12,mass_preserving,196608,0.05481151132403359,0.02538231519184442,-0.00816283985242392,0.7766797437552764,0.045745849609375,0.1754913330078125,0.18845113118489584,1.9651845693588257,0.06462192879124672,2.21053147315979,0.05645908893882279,0.8091593831777573,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,0,1,test,location1,r100y_p0.5_d3h,6,12,12,mass_preserving,196608,0.04331327621921847,0.01991087467184637,-0.006287230924614775,0.8286212295784218,0.029505411783854168,0.15523783365885416,0.15958658854166666,1.9651845693588257,0.055994266460517604,2.1293628215789795,0.04970703553590283,0.8076876699924469,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,1,0,test,location1,r100y_p0.5_d3h,12,12,12,mass_preserving,196608,0.04642228459025536,0.020414859699753055,0.002168326320845359,0.7917361315419568,0.032404581705729164,0.14742533365885416,0.13135782877604166,1.9066872596740723,0.04406281148419668,2.139671802520752,0.04623113780504203,0.765387549996376,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,1,1,test,location1,r200y_p0.5_d3h,0,12,12,mass_preserving,196608,0.05794920940009746,0.02658199721690416,-0.013464528709492747,0.7857441420176539,0.044321695963541664,0.17365519205729166,0.19574991861979166,2.024629592895508,0.07011556608141388,2.2266621589660645,0.05665103737192112,0.8628929853439331,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,2,0,test,location1,r200y_p0.5_d3h,6,12,12,mass_preserving,196608,0.047115781088963755,0.021139665332463684,-0.008818128387844149,0.833012498204281,0.029561360677083332,0.15857442220052084,0.16591898600260416,2.024629592895508,0.06060645018801363,2.1556286811828613,0.05178832180016949,0.8582287728786469,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,2,1,test,location1,r200y_p0.5_d3h,12,12,12,mass_preserving,196608,0.04677467696401513,0.020566339247457974,-0.0010390254002714133,0.8061461901376592,0.030512491861979168,0.14720662434895834,0.13707987467447916,1.9618059396743774,0.048055019879320454,2.1434061527252197,0.04701599447904906,0.8168739825487137,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,3,0,test,location1,r300y_p0.6_d3h,0,12,12,mass_preserving,196608,0.06843384543293007,0.031751788449720465,-0.01686770631849619,0.7479725085910653,0.0559539794921875,0.18024698893229166,0.20782979329427084,2.0679421424865723,0.07510425997843924,2.1938016414642334,0.058236553659943034,0.9126977622509003,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,3,1,test,location1,r300y_p0.6_d3h,6,12,12,mass_preserving,196608,0.05358836105660115,0.023508854551431518,-0.01125700460303714,0.8244207266493392,0.032297770182291664,0.1611175537109375,0.1744842529296875,2.0679421424865723,0.0657528436261606,2.192699432373047,0.05449583902312346,0.9109614044427872,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,4,0,test,location1,r300y_p0.6_d3h,12,12,12,mass_preserving,196608,0.04717101442495825,0.020641081755713903,-0.004853501136879482,0.8162684869169511,0.029571533203125,0.1483154296875,0.144012451171875,2.012298345565796,0.052464857211746686,2.1311116218566895,0.04761135607486722,0.8945328444242477,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,4,1,test,location1,r300y_p0.8_d3h,0,12,12,mass_preserving,196608,0.067654514902182,0.031099660413355074,-0.015165644906115423,0.7252836871169933,0.059967041015625,0.17865498860677084,0.1979522705078125,2.071625232696533,0.06999075467857659,2.124361276626587,0.05482510977246117,0.9446770995855331,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,5,0,test,location1,r300y_p0.8_d3h,6,12,12,mass_preserving,196608,0.06652291510920667,0.02998432605476334,-0.011406534040373879,0.7818838566268408,0.043919881184895836,0.1755523681640625,0.18324788411458334,2.071625232696533,0.06895214231149611,2.212402105331421,0.05754560827112224,0.9432785660028458,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,5,1,test,location1,r300y_p0.8_d3h,12,12,12,mass_preserving,196608,0.04947242606601762,0.021718490297077588,-0.00208561463112689,0.808015494636472,0.032770792643229164,0.15842183430989584,0.15019734700520834,2.0355610847473145,0.05494106622156817,2.2173850536346436,0.052855451590441284,0.8738706111907959,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,6,0,test,location2,r100y_p0.5_d3h,0,12,12,mass_preserving,196608,0.0787791421171756,0.01998319832228188,-0.011734044839226661,0.5340574494536413,0.036219278971354164,0.046788533528645836,0.07245890299479167,2.62091064453125,0.02205993303671192,1.2738840579986572,0.010325888197485256,2.565595328807831,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,6,1,test,location2,r100y_p0.5_d3h,6,12,12,mass_preserving,196608,0.04368882478856663,0.013491643941151987,-0.0073577459638004645,0.5734218629715165,0.022547403971354168,0.035044352213541664,0.048121134440104164,1.6813663244247437,0.013366811099562143,1.2063796520233154,0.006009065135761678,1.5555871576070786,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,7,0,test,location2,r100y_p0.5_d3h,12,12,12,mass_preserving,196608,0.03192007188209368,0.01104846405166345,-0.0046367870284440655,0.5376771947276797,0.018910725911458332,0.0291290283203125,0.0337677001953125,0.9571658968925476,0.008554873652128822,1.025647521018982,0.003918086623684758,0.8248621076345444,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,7,1,test,location2,r200y_p0.5_d3h,0,12,12,mass_preserving,196608,0.08550821483228865,0.021929409665880657,-0.014660634769145526,0.507947391385651,0.040150960286458336,0.045313517252604164,0.07773335774739583,2.6825506687164307,0.024820950491215885,1.2969319820404053,0.01016031572207036,2.624165967106819,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,8,0,test,location2,r200y_p0.5_d3h,6,12,12,mass_preserving,196608,0.05364478358131579,0.015492153608324524,-0.00921154236479804,0.5604738154613467,0.0251007080078125,0.036249796549479164,0.052866617838541664,1.7939974069595337,0.01596762866996719,1.2346683740615845,0.006756086305169144,1.6611934304237366,saved_evaluation_test_forecast_maps
seed42,phase10_margin_aware_boundary_band_seed42_40e,runs\phase10_margin_aware_boundary_band_seed42_40e,8,1,test,location2,r200y_p0.5_d3h,12,12,12,mass_preserving,196608,0.040475390373035575,0.012384865034007911,-0.0063574658712227975,0.5515845477677539,0.019719441731770832,0.030039469401041668,0.0381927490234375,1.1040637493133545,0.010524457785412366,1.0441542863845825,0.004166991914189566,0.9009634852409363,saved_evaluation_test_forecast_maps
