comparison,region,metric,phase27,phase29,delta,lower_is_better,improved
phase29_minus_phase27,manhole_nonzero_valid,rmse,0.053327816554534536,0.05589962324334801,0.0025718066888134744,True,False
phase29_minus_phase27,manhole_nonzero_valid,mae,0.020044719535846585,0.020950483726789225,0.00090576419094264,True,False
phase29_minus_phase27,manhole_nonzero_valid,bias,-0.0030852019214950024,-0.0035887716115641545,-0.0005035696900691521,False,
phase29_minus_phase27,manhole_nonzero_valid,absolute_error_mean,0.020044719535846585,0.020950483726789225,0.00090576419094264,True,False
phase29_minus_phase27,manhole_nonzero_valid,false_dry_rate,0.11722297129963402,0.13129798299441403,0.01407501169478001,True,False
phase29_minus_phase27,manhole_nonzero_valid,false_wet_rate,0.02170810827179233,0.02397544163793071,0.00226733336613838,True,False
phase29_minus_phase27,manhole_nonzero_valid,false_dry_volume_loss_proxy,539.3424889221787,652.6776378117502,113.33514888957143,True,False
phase29_minus_phase27,manhole_nonzero_valid,false_wet_volume_excess_proxy,591.9965047493242,657.260562272364,65.26405752303981,True,False
phase29_minus_phase27,manhole_nonzero_valid,peak_depth_underprediction,0.13456998216478447,0.1494295533681125,0.014859571203328037,True,False
phase29_minus_phase27,manhole_nonzero_valid,predicted_volume_proxy,27866.472664646804,27702.117663234472,-164.35500141233206,False,
phase29_minus_phase27,manhole_nonzero_valid,target_volume_proxy,28106.944535749193,28106.944535749193,0.0,False,
phase29_minus_phase27,manhole_nonzero_valid,relative_volume_bias_proxy,-0.008555603430907721,-0.014403090737942789,-0.005847487307035068,False,
phase29_minus_phase27,manhole_nonzero_valid,absolute_relative_volume_bias_proxy,0.008555603430907721,0.014403090737942789,0.005847487307035068,True,False
phase29_minus_phase27,invalid_or_high,rmse,0.012229536846967846,0.011961812490615616,-0.0002677243563522294,True,True
phase29_minus_phase27,invalid_or_high,mae,0.009194178125951533,0.008871709484516368,-0.00032246864143516477,True,True
phase29_minus_phase27,invalid_or_high,bias,-0.0035690644892386434,-0.003098215787904917,0.0004708487013337262,False,
phase29_minus_phase27,invalid_or_high,absolute_error_mean,0.009194178125951533,0.008871709484516368,-0.00032246864143516477,True,True
phase29_minus_phase27,invalid_or_high,false_dry_rate,,,,True,
phase29_minus_phase27,invalid_or_high,false_wet_rate,0.0006771753408524709,0.001173166644018662,0.000495991303166191,True,False
phase29_minus_phase27,invalid_or_high,false_dry_volume_loss_proxy,0.0,0.0,0.0,True,False
phase29_minus_phase27,invalid_or_high,false_wet_volume_excess_proxy,36.96845977008343,64.85271190106869,27.88425213098526,True,False
phase29_minus_phase27,invalid_or_high,peak_depth_underprediction,0.0,0.0,0.0,True,False
phase29_minus_phase27,invalid_or_high,predicted_volume_proxy,2483.712675154209,2549.22840680182,65.51573164761066,False,
phase29_minus_phase27,invalid_or_high,target_volume_proxy,0.0,0.0,0.0,False,
phase29_minus_phase27,invalid_or_high,relative_volume_bias_proxy,,,,False,
phase29_minus_phase27,invalid_or_high,absolute_relative_volume_bias_proxy,,,,True,
