seed,run_name,risk_proxy_group,risk_proxy_value,cell_count,rmse,mae,wet_dry_class_error_rate,false_dry_rate,false_wet_rate,false_dry_cell_fraction,false_wet_cell_fraction,pred_wet_fraction,target_wet_fraction,mean_confidence_margin,min_confidence_margin,max_confidence_margin
seed202,phase10_margin_aware_boundary_band_seed202_40e,wet_dry_outcome,false_dry,107752,0.16863723480336906,0.08677657468769802,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.021003715484632982,4.2021274566927946e-07,0.1208809494972229
seed202,phase10_margin_aware_boundary_band_seed202_40e,wet_dry_outcome,false_wet,73808,0.06488948588813598,0.050744737367491605,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.024408740855659743,1.7583370208462679e-07,0.8857298612594604
seed42,phase10_margin_aware_boundary_band_seed42_40e,boundary_distance_band,boundary_0px,1499234,0.09614384386081627,0.04710591252879994,0.1543121353971428,0.2796727539275872,0.07795236715286946,0.10586806329098726,0.04844407210615554,0.32111865125790906,0.3785426424427408,0.06672311669778946,4.023313522616423e-08,1.643605899810791
seed42,phase10_margin_aware_boundary_band_seed42_40e,boundary_distance_band,far_field_gt3px,3032799,0.015297879638629336,0.008453099983393924,0.0015721450712691478,0.004574042309891366,0.0015494697451414621,3.429175491023309e-05,0.0015378533163589146,0.009000596478698391,0.007497034917249709,0.05371540574799537,6.973743438692948e-07,1.2289138555526733
seed42,phase10_margin_aware_boundary_band_seed42_40e,boundary_distance_band,near_boundary_1_3px,2939071,0.06364569973172056,0.021686267389548205,0.00837373442152299,0.03734047808793674,0.005355858797080727,0.0035232221337966997,0.004850512287726292,0.09568125438276244,0.09435396422883285,0.08883133994247966,1.166760921475496e-06,2.1766621589660646
seed42,phase10_margin_aware_boundary_band_seed42_40e,boundary_distance_band,no_target_boundary_frame,0,,,,,,,,,,,,
seed42,phase10_margin_aware_boundary_band_seed42_40e,target_depth_bin,deep,341316,0.25029903934652736,0.17686775066514265,0.022876161680085317,0.022876161680085317,0.0,0.022876161680085317,0.0,0.9771238383199147,1.0,0.5041148616338595,1.873075962069426e-06,2.1766621589660646
seed42,phase10_margin_aware_boundary_band_seed42_40e,target_depth_bin,dry_or_near_dry,6603530,0.014721217758352903,0.010036631417263164,0.013863645656186918,0.0,0.013863645656186918,0.0,0.013863645656186918,0.013863645656186918,0.0,0.04817386881598929,5.5134296420011886e-08,0.7230201482772827
seed42,phase10_margin_aware_boundary_band_seed42_40e,target_depth_bin,moderate,196519,0.11551937884941002,0.09623918424670215,0.12990601417674627,0.12990601417674627,0.0,0.12990601417674627,0.0,0.8700939858232537,1.0,0.10433287788730053,1.5020370483370682e-06,1.000849199295044
seed42,phase10_margin_aware_boundary_band_seed42_40e,target_depth_bin,shallow,329739,0.056072988282115974,0.0437891797020233,0.41197128638104685,0.41197128638104685,0.0,0.41197128638104685,0.0,0.5880287136189531,1.0,0.0404555124115901,4.023313522616423e-08,0.6456729888916015
seed42,phase10_margin_aware_boundary_band_seed42_40e,wet_dry_outcome,correct_dry,6511981,0.012648451129365305,0.009413507993309323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048513687668184265,5.5134296420011886e-08,0.15388509929180144
seed42,phase10_margin_aware_boundary_band_seed42_40e,wet_dry_outcome,correct_wet,698394,0.1682804714917825,0.11055764386300909,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2890216162902828,3.9935111999234163e-07,2.1766621589660646
seed42,phase10_margin_aware_boundary_band_seed42_40e,wet_dry_outcome,false_dry,169180,0.17641432590865572,0.09756961007627725,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.023966535421482266,4.023313522616423e-08,0.1127504587173462
