scenario_key,location,event,start_idx,matched_seed_count,matched_seeds,mean_prediction_std,max_prediction_std,p95_prediction_std,wet_dry_disagreement_rate,mean_seed_rmse,max_seed_rmse,target_max_depth,target_mean_depth,cell_count,rmse,mae,wet_dry_class_error_rate,false_dry_rate,false_wet_rate,false_dry_cell_fraction,false_wet_cell_fraction,pred_wet_fraction,target_wet_fraction,mean_confidence_margin,min_confidence_margin,max_confidence_margin
location1|r300y_p0.8_d3h|12,location1,r300y_p0.8_d3h,12,3,seed123;seed202;seed42,0.013494725476430108,0.3015314544989579,0.050312555350724035,0.0384368896484375,0.048884421226749374,0.056926563196362634,2.0355610847473145,0.05494106622156817,196608,0.04262402693595037,0.017974594551167233,0.024297078450520832,0.0483237385709448,0.020050515328170076,0.007258097330729167,0.017038981119791668,0.15997823079427084,0.15019734700520834,0.08609886170857205,5.990266799954513e-07,2.043082825342814
location1|r300y_p0.8_d3h|6,location1,r300y_p0.8_d3h,6,3,seed123;seed202;seed42,0.015589419703155478,0.35179323355250575,0.05918995463014995,0.0509796142578125,0.06483669702909071,0.07228415401455976,2.071625232696533,0.06895214231149611,196608,0.05848078502468738,0.025050664015517272,0.033137003580729164,0.11382813367380926,0.015033005355586,0.0208587646484375,0.012278238932291666,0.1746673583984375,0.18324788411458334,0.08715124073774204,5.560119946797226e-06,2.1817155996958415
location2|r100y_p0.5_d3h|0,location2,r100y_p0.5_d3h,0,3,seed123;seed202;seed42,0.008814520327283158,0.4491930604379598,0.019728748309060372,0.0292816162109375,0.07715867672694995,0.07993443075870817,2.62091064453125,0.02205993303671192,196608,0.0746621659937778,0.016577546380225176,0.030375162760416668,0.3779306471992138,0.0032243559513495134,0.027384440104166668,0.00299072265625,0.048065185546875,0.07245890299479167,0.05416586101600085,1.3778607050526914e-06,1.1505065282185871
location2|r100y_p0.5_d3h|12,location2,r100y_p0.5_d3h,12,3,seed123;seed202;seed42,0.006789115059518962,0.3178305848222989,0.014622993870370367,0.0210418701171875,0.02910214435910723,0.03192007188209368,0.9571658968925476,0.008554873652128822,196608,0.026223120679831714,0.008454381832076762,0.013051350911458334,0.22413014008133755,0.005674610067958457,0.007568359375,0.005482991536458333,0.031682332356770836,0.0337677001953125,0.052513837784873535,1.0575354099276457e-05,0.9707921862602233
location2|r100y_p0.5_d3h|6,location2,r100y_p0.5_d3h,6,3,seed123;seed202;seed42,0.0074389485238042195,0.30450414198438647,0.01624066396419811,0.023259480794270832,0.040353042695349374,0.043864287909736094,1.6813663244247437,0.013366811099562143,196608,0.037461968608820125,0.010403335619471836,0.015574137369791666,0.2519818201035831,0.0036228205635142428,0.012125651041666666,0.003448486328125,0.0394439697265625,0.048121134440104164,0.05381992572929195,1.6073385874434964e-06,1.0482983112335205
location2|r200y_p0.5_d3h|0,location2,r200y_p0.5_d3h,0,3,seed123;seed202;seed42,0.008754691092987347,0.42414365621529426,0.019224714767892198,0.028569539388020832,0.08392903470143347,0.08622933281898958,2.6825506687164307,0.024820950491215885,196608,0.08172296927107314,0.018771923614328324,0.034912109375,0.43283386769613297,0.0013732248724665655,0.0336456298828125,0.0012664794921875,0.045354207356770836,0.07773335774739583,0.0539939736718831,6.784995396982851e-07,1.1611526330312092
location2|r200y_p0.5_d3h|12,location2,r200y_p0.5_d3h,12,3,seed123;seed202;seed42,0.00696767611101613,0.3276065608561184,0.014870728511029324,0.021331787109375,0.03555771858346323,0.040475390373035575,1.1040637493133545,0.010524457785412366,196608,0.03325206446189219,0.00938932530031774,0.012669881184895834,0.23118923957917167,0.003992617623572838,0.008829752604166666,0.0038401285807291665,0.033203125,0.0381927490234375,0.05261977134772831,7.554888725308517e-07,0.9997613549232482
location2|r200y_p0.5_d3h|6,location2,r200y_p0.5_d3h,6,3,seed123;seed202;seed42,0.007612029965467173,0.3039584820374947,0.016539376550589284,0.023717244466145832,0.048391589841466,0.05364478358131579,1.7939974069595337,0.01596762866996719,196608,0.04603259149236861,0.01190748597118569,0.016515096028645832,0.27073311525880317,0.002325281665180921,0.014312744140625,0.0022023518880208335,0.0407562255859375,0.052866617838541664,0.05339879776490258,1.4293193817141447e-05,1.0776393731435139
location2|r300y_p0.6_d3h|0,location2,r300y_p0.6_d3h,0,3,seed123;seed202;seed42,0.00837227768791917,0.46009962714224656,0.020348380339247248,0.034352620442708336,0.09800541865198413,0.10325791473346656,2.7899465560913086,0.028809237841890056,196608,0.09616059707831905,0.022440447905386508,0.040395100911458336,0.4245912963389362,0.00315784775379946,0.037516276041666664,0.0028788248697916665,0.053721110026041664,0.08835856119791667,0.05262244604948844,2.932548522946443e-06,1.069054615497589
location2|r300y_p0.6_d3h|12,location2,r300y_p0.6_d3h,12,3,seed123;seed202;seed42,0.007953116096976978,0.35705572524579676,0.017705488054242064,0.024541219075520832,0.037130950240431455,0.04384734937853123,1.178109884262085,0.012370942107598842,196608,0.03339210332104592,0.010133706772780917,0.016871134440104168,0.16302500606943432,0.010479375696767,0.006830851236979167,0.010040283203125,0.045110066731770836,0.041900634765625,0.0548701868497877,4.440546035738846e-07,1.186718734105428
location2|r300y_p0.6_d3h|18,location2,r300y_p0.6_d3h,18,3,seed123;seed202;seed42,0.0069269639218429305,0.31999339664642484,0.014560866988659995,0.0176239013671875,0.028658068202312814,0.03240066840025048,1.0229902267456055,0.008920881856703061,196608,0.025287228273300492,0.008586875497074709,0.011678059895833334,0.20560603727090712,0.005054835231307366,0.0067901611328125,0.004887898763020833,0.031122843424479168,0.033025105794270836,0.054354115421726114,7.905562718714398e-06,1.0242949446042378
location2|r300y_p0.6_d3h|24,location2,r300y_p0.6_d3h,24,3,seed123;seed202;seed42,0.006354542438435362,0.29980306554983305,0.013664394458376042,0.015497843424479166,0.025861689807928537,0.028883637502174816,0.9036679267883301,0.007256362266468558,196608,0.02349654081201377,0.007938788571373022,0.010142008463541666,0.24336205380692807,0.003195038785675751,0.007039388020833333,0.0031026204427083335,0.024988810221354168,0.028925577799479168,0.05295738139516038,1.4732281366988675e-06,0.8922094225883483
location2|r300y_p0.6_d3h|6,location2,r300y_p0.6_d3h,6,3,seed123;seed202;seed42,0.008918407545412165,0.47499247691474594,0.020631603340422307,0.030161539713541668,0.05782860753861136,0.06297659765057725,2.03947114944458,0.018165162742208724,196608,0.054529944810777047,0.014375623645094177,0.023096720377604168,0.2005005810315545,0.012393418221237077,0.011408487955729166,0.011688232421875,0.057179768880208336,0.0569000244140625,0.054227624046004376,1.1245409647572813e-06,1.2453184445699055
location2|r300y_p0.8_d3h|0,location2,r300y_p0.8_d3h,0,3,seed123;seed202;seed42,0.007861974108105765,0.39397362607963377,0.017944386383869197,0.027287801106770832,0.09602513306853244,0.09955135308034255,2.8395590782165527,0.027898640336869802,196608,0.09440511253249617,0.023205100349938047,0.053181966145833336,0.5408538624456583,0.004208970928996004,0.049357096354166664,0.0038248697916666665,0.045725504557291664,0.09125773111979167,0.05349337939626873,1.756350199381973e-06,1.1217034578323364
location2|r300y_p0.8_d3h|12,location2,r300y_p0.8_d3h,12,3,seed123;seed202;seed42,0.007824521810626,0.34489725182898434,0.016970107951911954,0.024098714192708332,0.03753745274788808,0.04283347408835654,1.1866930723190308,0.012751571997487008,196608,0.03435272173128705,0.010006134952382803,0.012227376302083334,0.18347537878787878,0.0045386904761904765,0.007883707682291666,0.004343668619791667,0.0394287109375,0.04296875,0.05389810606956822,6.652871767674762e-06,1.1582167466481526
location2|r300y_p0.8_d3h|6,location2,r300y_p0.8_d3h,6,3,seed123;seed202;seed42,0.008848823784858005,0.4018912091159951,0.01962364384080436,0.031346638997395836,0.06828308403067508,0.07346485404898151,2.4863128662109375,0.01968050244092549,196608,0.06577544399075029,0.015951336495297664,0.0228729248046875,0.31797040169133195,0.00398846214208017,0.019124348958333332,0.0037485758463541665,0.044769287109375,0.060145060221354164,0.05375783523866932,4.552801450098676e-06,1.2508376757303874
location3|r100y_p0.5_d3h|0,location3,r100y_p0.5_d3h,0,3,seed123;seed202;seed42,0.01627048607689302,0.5451954022781426,0.05831040095828694,0.054621378580729164,0.054625158895560716,0.06460040377579154,1.866689920425415,0.05671557290551713,196608,0.046632707240779475,0.019060431158641384,0.034962972005208336,0.15933052646229862,0.013671374702893327,0.023289998372395832,0.0116729736328125,0.13455708821614584,0.14617411295572916,0.079692547354216,1.7454226811722262e-06,1.939140510559082
location3|r100y_p0.5_d3h|12,location3,r100y_p0.5_d3h,12,3,seed123;seed202;seed42,0.01435823212848891,0.5609719661953868,0.04830513181674231,0.0338287353515625,0.04859935918722561,0.05902654004139004,1.7803488969802856,0.04527124985195217,196608,0.04076433156103323,0.016543801053816275,0.021753946940104168,0.04566794707639778,0.018880931626415073,0.0048980712890625,0.016855875651041668,0.11921183268229167,0.1072540283203125,0.0803103324491354,1.215239365896098e-05,1.9043304443359375
