row,col,observation_count,low_margin_count,false_dry_count,deep_underprediction_count,boundary_count,high_risk_case_count,low_margin_fraction,false_dry_fraction,deep_underprediction_fraction,boundary_fraction,high_risk_case_fraction
0,73,1368,0,0,0,3,0,0.0,0.0,0.0,0.0021929824561403508,0.0
0,74,1368,3,0,0,60,1,0.0021929824561403508,0.0,0.0,0.043859649122807015,0.0007309941520467836
0,75,1368,0,0,0,126,0,0.0,0.0,0.0,0.09210526315789473,0.0
0,76,1368,3,0,0,150,0,0.0021929824561403508,0.0,0.0,0.10964912280701754,0.0
0,77,1368,12,0,0,432,0,0.008771929824561403,0.0,0.0,0.3157894736842105,0.0
0,78,1368,59,0,0,432,0,0.04312865497076023,0.0,0.0,0.3157894736842105,0.0
0,79,1368,26,0,0,432,0,0.019005847953216373,0.0,0.0,0.3157894736842105,0.0
0,80,1368,0,0,0,114,0,0.0,0.0,0.0,0.08333333333333333,0.0
0,81,1368,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,82,1368,0,0,0,3,0,0.0,0.0,0.0,0.0021929824561403508,0.0
0,83,1368,0,0,0,15,0,0.0,0.0,0.0,0.010964912280701754,0.0
0,84,1368,5,3,0,24,6,0.003654970760233918,0.0021929824561403508,0.0,0.017543859649122806,0.0043859649122807015
0,85,1368,11,15,0,21,20,0.00804093567251462,0.010964912280701754,0.0,0.015350877192982455,0.014619883040935672
0,86,1368,20,3,0,24,16,0.014619883040935672,0.0021929824561403508,0.0,0.017543859649122806,0.011695906432748537
0,87,1368,8,0,0,6,4,0.005847953216374269,0.0,0.0,0.0043859649122807015,0.0029239766081871343
0,88,1368,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,89,1368,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,90,1368,3,0,0,0,0,0.0021929824561403508,0.0,0.0,0.0,0.0
0,91,1368,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,92,1368,26,0,0,3,17,0.019005847953216373,0.0,0.0,0.0021929824561403508,0.012426900584795321
0,93,1368,45,0,0,96,21,0.03289473684210526,0.0,0.0,0.07017543859649122,0.015350877192982455
0,94,1368,85,18,1,462,58,0.062134502923976605,0.013157894736842105,0.0007309941520467836,0.33771929824561403,0.04239766081871345
0,95,1368,106,93,17,492,107,0.07748538011695906,0.06798245614035088,0.012426900584795321,0.35964912280701755,0.07821637426900585
0,96,1368,135,488,95,504,156,0.09868421052631579,0.3567251461988304,0.06944444444444445,0.3684210526315789,0.11403508771929824
