split,location,scenario,scenario_type,rmse,wet_dry_iou,false_dry_rate,false_wet_rate,absolute_relative_volume_bias_proxy,warning_level
test,location2,G3501_intensity_151,measured,0.0062131313995710865,0.8356436580404031,0.09887250650477017,0.0020030489116897986,0.04043149099247931,high-risk
test,location2,G3531_intensity_128,measured,0.010259241887115963,0.7493095768374165,0.18643903854524352,0.0023153619630299506,0.010487614655940223,high-risk
test,location2,r100y_p0.5_d3h,design,0.011937414329086758,0.8393588693158541,0.10672098314645012,0.003144450661468375,0.0036631681262222033,caution
test,location2,r100y_p0.8_d3h,design,0.012623533681663787,0.827390391000881,0.10603309415727047,0.0036521965685968254,0.029562182093631817,high-risk
test,location2,r200y_p0.5_d3h,design,0.011883090225965122,0.8443069949715527,0.11031506150727018,0.0028952063931731824,0.018432385385845306,high-risk
test,location2,r200y_p0.7_d3h,design,0.010056093493384953,0.842336379604409,0.1148871858658,0.0025345522146459337,0.005307757966083302,high-risk
test,location2,r300y_p0.1_d3h,design,0.009740406075353992,0.8305231358875743,0.14602006048249155,0.0013761972549398748,0.048682797483651855,high-risk
test,location2,r300y_p0.5_d3h,design,0.012170629789711907,0.8106114359815028,0.15982806279004894,0.0019250360442249587,0.049511567783290314,high-risk
test,location2,r300y_p0.6_d3h,design,0.012770114532960654,0.8410884811469682,0.11180192121121026,0.002733247937394686,0.00466463833479669,high-risk
test,location2,r300y_p0.8_d3h,design,0.015696815273507792,0.8250535130430692,0.11448984486436677,0.003886470863519596,0.0068127595690061086,high-risk
test,location2,r500y_p0.1_d3h,design,0.010566763255156323,0.8228358474727175,0.15764322916666668,0.0012178623374401096,0.06606797762747323,high-risk
test,location2,r500y_p0.3_d3h,design,0.013403122306542694,0.8441715895448765,0.1220811649381312,0.0021676082647940605,0.035039621076131004,high-risk
test,location3,G1135_intensity_103,measured,0.011612455743546385,0.8478816042870301,0.09153097384829319,0.004294691890230587,0.003978465927484123,caution
test,location3,G1135_intensity_161,measured,0.00886706231453772,0.8638617725105964,0.06799751276005907,0.004071085199275242,0.009815058692295538,caution
test,location3,G1166_intensity_246,measured,0.010215940152172637,0.8302860594081151,0.0894201240440778,0.004264369677835634,0.006060189866617536,high-risk
test,location3,G1166_intensity_394,measured,0.013354511044129791,0.8624878864060898,0.09321796140159178,0.004839232568396945,0.02424872542221064,caution
test,location3,G3501_intensity_151,measured,0.009481738155917257,0.8806668075663109,0.06136489492505373,0.00478271810879064,0.007158949134783226,caution
test,location3,G3531_intensity_128,measured,0.013891983002547268,0.8524525008182796,0.07471006708003079,0.006943952725300365,0.02533135892684273,high-risk
test,location3,r100y_p0.5_d3h,design,0.012039682549643854,0.889873189494561,0.05903810467983426,0.006382161033353397,0.021094427722207945,high-risk
test,location3,r100y_p0.8_d3h,design,0.013666005032846453,0.8808870982784026,0.056818181818181816,0.007467061423486344,0.03263270241654788,high-risk
test,location3,r200y_p0.5_d3h,design,0.012519146963999575,0.8922807845212959,0.06790153136043464,0.005279151581683583,0.0005080168069987569,high-risk
test,location3,r200y_p0.7_d3h,design,0.011652030784489648,0.8923557972188714,0.06625344612119043,0.005224857759507989,0.00752344945974139,high-risk
test,location3,r300y_p0.1_d3h,design,0.013786442163568785,0.8835645273889016,0.08881573523996901,0.004089429672665887,0.013749757843001543,high-risk
test,location3,r300y_p0.5_d3h,design,0.01335117237639418,0.8878520377299308,0.07627128521311437,0.00494838239135182,0.011413893259057466,high-risk
test,location3,r300y_p0.6_d3h,design,0.0172178380688182,0.8644162512379867,0.10690378602093373,0.004151850127080664,0.03522877066194096,high-risk
test,location3,r300y_p0.8_d3h,design,0.014996579659864862,0.8851726040124264,0.06907438733198576,0.006006615509189114,0.0003921621169694309,high-risk
test,location3,r500y_p0.1_d3h,design,0.014778151915862445,0.8761062859736348,0.10017904249345806,0.0036919777874432295,0.027172683285216995,high-risk
test,location3,r500y_p0.3_d3h,design,0.018628359356128065,0.869264648776799,0.10855816439346702,0.0035231115102057355,0.04946162204079427,high-risk
