split,location,scenario,scenario_type,sum_target_depth,sum_pred_depth,volume_bias_proxy,relative_volume_bias_proxy,absolute_relative_volume_bias_proxy
test,location2,G3501_intensity_151,measured,8520.499671936035,8864.99617767334,0.04043149099247931,0.04043149099247931,0.04043149099247931
test,location2,G3531_intensity_128,measured,9007.126155853271,9101.5894241333,0.010487614655940223,0.010487614655940223,0.010487614655940223
test,location2,r100y_p0.5_d3h,design,21581.902130126953,21660.96026611328,0.0036631681262222033,0.0036631681262222033,0.0036631681262222033
test,location2,r100y_p0.8_d3h,design,19626.974243164062,20207.1904296875,0.029562182093631817,0.029562182093631817,0.029562182093631817
test,location2,r200y_p0.5_d3h,design,24617.130767822266,24163.378326416016,-0.018432385385845306,-0.018432385385845306,0.018432385385845306
test,location2,r200y_p0.7_d3h,design,22076.04451751709,22193.21881866455,0.005307757966083302,0.005307757966083302,0.005307757966083302
test,location2,r300y_p0.1_d3h,design,21629.690673828125,20576.696823120117,-0.048682797483651855,-0.048682797483651855,0.048682797483651855
test,location2,r300y_p0.5_d3h,design,22944.685653686523,21808.658294677734,-0.049511567783290314,-0.049511567783290314,0.049511567783290314
test,location2,r300y_p0.6_d3h,design,21933.380378723145,21831.069091796875,-0.00466463833479669,-0.00466463833479669,0.00466463833479669
test,location2,r300y_p0.8_d3h,design,24213.66022491455,24048.6983795166,-0.0068127595690061086,-0.0068127595690061086,0.0068127595690061086
test,location2,r500y_p0.1_d3h,design,23526.343505859375,21972.005569458008,-0.06606797762747323,-0.06606797762747323,0.06606797762747323
test,location2,r500y_p0.3_d3h,design,25882.81707763672,24975.892974853516,-0.035039621076131004,-0.035039621076131004,0.035039621076131004
test,location3,G1135_intensity_103,measured,27203.16074037552,27311.387588500977,0.003978465927484123,0.003978465927484123,0.003978465927484123
test,location3,G1135_intensity_161,measured,21891.066108703613,22105.92820739746,0.009815058692295538,0.009815058692295538,0.009815058692295538
test,location3,G1166_intensity_246,measured,19165.02968978882,19281.1734085083,0.006060189866617536,0.006060189866617536,0.006060189866617536
test,location3,G1166_intensity_394,measured,48760.95300292969,47578.56204223633,-0.02424872542221064,-0.02424872542221064,0.02424872542221064
test,location3,G3501_intensity_151,measured,31050.240078926086,31272.527168273926,0.007158949134783226,0.007158949134783226,0.007158949134783226
test,location3,G3531_intensity_128,measured,40163.510164260864,41180.90645599365,0.02533135892684273,0.02533135892684273,0.02533135892684273
test,location3,r100y_p0.5_d3h,design,65307.20657348633,66684.82472229004,0.021094427722207945,0.021094427722207945,0.021094427722207945
test,location3,r100y_p0.8_d3h,design,61136.24978637695,63131.29083251953,0.03263270241654788,0.03263270241654788,0.03263270241654788
test,location3,r200y_p0.5_d3h,design,70859.47204589844,70895.46984863281,0.0005080168069987569,0.0005080168069987569,0.0005080168069987569
test,location3,r200y_p0.7_d3h,design,66847.44654846191,67350.36993408203,0.00752344945974139,0.00752344945974139,0.00752344945974139
test,location3,r300y_p0.1_d3h,design,77838.05407714844,76767.79968261719,-0.013749757843001543,-0.013749757843001543,0.013749757843001543
test,location3,r300y_p0.5_d3h,design,74171.69140625,73325.10363769531,-0.011413893259057466,-0.011413893259057466,0.011413893259057466
test,location3,r300y_p0.6_d3h,design,73500.30038452148,70910.9751586914,-0.03522877066194096,-0.03522877066194096,0.03522877066194096
test,location3,r300y_p0.8_d3h,design,69479.72094726562,69452.4736328125,-0.0003921621169694309,-0.0003921621169694309,0.0003921621169694309
test,location3,r500y_p0.1_d3h,design,82196.24914550781,79962.75650024414,-0.027172683285216995,-0.027172683285216995,0.027172683285216995
test,location3,r500y_p0.3_d3h,design,82244.1644897461,78176.23471069336,-0.04946162204079427,-0.04946162204079427,0.04946162204079427
