phase,seed,run_name,run_dir,batch_file,batch_name,batch_index,sample_index,timestep,target_volume_proxy,prediction_volume_proxy,volume_bias,relative_volume_bias,absolute_relative_volume_bias,target_wet_area,prediction_wet_area,target_dry_area,wet_area_bias,wet_area_contraction,false_dry_count,false_wet_count,false_dry_rate,false_wet_rate,false_dry_volume_loss,false_wet_volume_excess,peak_depth_target,peak_depth_prediction,peak_depth_underprediction,rmse,mae
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0015/forecast_maps.npz,test_batch_0015,15,1,1,879.7144046730098,843.0825199633837,-36.63188470962609,-0.04164065577992,0.04164065577992,2006,2003,14378,-3,0.0014955134596211358,78,75,0.03888334995014953,0.005216302684657115,5.186641793698072,4.607675299048424,1.8034526109695435,1.7594819068908691,0.043970704078674316,0.03017393665509322,0.01546693637048015
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0015/forecast_maps.npz,test_batch_0015,15,1,2,858.2023344739298,848.5311977118254,-9.671136762104425,-0.01126906368535193,0.01126906368535193,1970,2018,14414,48,0.0,55,103,0.02791878172588831,0.007145830442625224,3.858655370771885,6.591001704335213,1.7858123779296875,1.7824724912643433,0.0033398866653442383,0.0287926203939652,0.015065052839615695
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0015/forecast_maps.npz,test_batch_0015,15,1,3,837.8411346828013,969.9016707241535,132.06053604135218,0.15762001956534263,0.15762001956534263,1929,2146,14455,217,0.0,27,244,0.013996889580093305,0.016879972327914213,1.942726295441389,16.732301026582718,1.7686679363250732,1.8273688554763794,0.0,0.03342322815248982,0.016791432914079047
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0015/forecast_maps.npz,test_batch_0015,15,1,4,818.5132971374821,782.5553161948919,-35.95798094259021,-0.04393084519010625,0.04393084519010625,1886,1923,14498,37,0.0,73,110,0.03870625662778365,0.007587253414264036,5.121311206370592,7.57674440741539,1.7544865608215332,1.7374006509780884,0.017085909843444824,0.028934542430966964,0.0156656396462042
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0015/forecast_maps.npz,test_batch_0015,15,1,5,800.2272570250186,883.9346433132887,83.70738628827007,0.10460451772096149,0.10460451772096149,1860,2039,14524,179,0.0,38,217,0.02043010752688171,0.014940787661801154,2.670248907059431,15.654668465256691,1.739368200302124,1.8127037286758423,0.0,0.031107806343796788,0.016078723786947653
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0015/forecast_maps.npz,test_batch_0015,15,1,6,782.9284736536918,1106.4843347519636,323.55586109827186,0.4132636275039705,0.4132636275039705,1833,2288,14551,455,0.0,18,473,0.009819967266775772,0.03250635695141227,1.2696906588971615,36.698082119226456,1.72421133518219,1.9020415544509888,0.0,0.05130890170651119,0.02439217896031733
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0015/forecast_maps.npz,test_batch_0015,15,1,7,766.4298190470706,690.5412712395191,-75.8885478075515,-0.09901565142899363,0.09901565142899363,1805,1837,14579,32,0.0,88,120,0.04875346260387809,0.008231017216544343,6.399274300783873,7.927233666181564,1.7094463109970093,1.6786319017410278,0.030814409255981445,0.03140996123307301,0.01745127061412465
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0015/forecast_maps.npz,test_batch_0015,15,1,8,750.6504126224879,862.7015584111214,112.05114578863345,0.14927207646122392,0.14927207646122392,1773,1995,14611,222,0.0,36,258,0.02030456852791877,0.017657928957634655,2.508350107818842,19.636863231658936,1.694990873336792,1.7697558403015137,0.0,0.03298079424387851,0.016684901933031977
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0015/forecast_maps.npz,test_batch_0015,15,1,9,735.5240872577976,1015.3043846487999,279.78029739100225,0.38038223660911896,0.38038223660911896,1740,2135,14644,395,0.0,21,416,0.012068965517241372,0.02840753892379131,1.5480336099863052,35.04305338859558,1.6805769205093384,1.8690677881240845,0.0,0.048399120625434375,0.022488226261978012
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0015/forecast_maps.npz,test_batch_0015,15,1,10,721.0441725376566,694.1325041055679,-26.911668432088618,-0.03732318969776171,0.03732318969776171,1714,1806,14670,92,0.0,82,174,0.04784130688448072,0.011860940695296522,5.723533373326063,12.697588920593262,1.6661274433135986,1.6470444202423096,0.019083023071289062,0.02902746745879885,0.016184361377096602
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0015/forecast_maps.npz,test_batch_0015,15,1,11,707.3964848923476,925.220102891326,217.8236179989783,0.3079229578475028,0.3079229578475028,1693,2058,14691,365,0.0,26,391,0.015357353809805071,0.026614934313525285,1.8692327290773392,32.920013666152954,1.6522454023361206,1.8297427892684937,0.0,0.042106519754735214,0.020031049702759058
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,0,0,1029.0432315848182,688.2066091746092,-340.836622410209,-0.33121701008157833,0.33121701008157833,3489,2125,12895,-1364,0.39094296359988523,1449,85,0.41530524505588984,0.006591702210158976,168.76122818514705,8.977026551961899,1.691285252571106,1.6746902465820312,0.016595005989074707,0.0676909723192764,0.032574398708942784
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,0,1,1080.6735269019243,745.7344011366367,-334.9391257652876,-0.3099355331905752,0.3099355331905752,3249,2170,13135,-1079,0.33210218528778074,1130,51,0.34779932286857485,0.0038827559954320513,126.51104589179158,4.049125641584396,1.8108948469161987,1.7165756225585938,0.09431922435760498,0.06422615397231515,0.030325780661577637
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,0,2,1107.6942506151079,822.8081110268831,-284.88613958822475,-0.25718842490157,0.25718842490157,3073,2234,13311,-839,0.2730231044581841,880,41,0.2863651155222908,0.0030801592667718423,93.44663170352578,3.0886128544807434,1.8773891925811768,1.8165079355239868,0.06088125705718994,0.05764371692523096,0.027042474215456705
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,0,3,1124.3012849546562,971.6579663157463,-152.64331863890993,-0.13576727224417076,0.13576727224417076,2944,2394,13440,-550,0.186820652173913,614,64,0.2085597826086956,0.0047619047619047615,57.57895750924945,3.998187631368637,1.911706566810608,1.8299490213394165,0.0817575454711914,0.045972281408777925,0.021134903080250754
phase10,seed202,phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e,runs/phase10_margin_aware_boundary_band_seed202_40e/evaluation_test/test_batch_0016/forecast_maps.npz,test_batch_0016,16,0,4,1134.5936339207917,888.562417820096,-246.0312161006957,-0.21684522876308632,0.21684522876308632,2864,2182,13520,-682,0.23812849162011165,694,12,0.24231843575418988,0.0008875739644970413,63.95826219767332,0.767935574054718,1.9296914339065552,1.8139253854751587,0.11576604843139648,0.05009648381056706,0.023978179400401742
